id,split,label,base_pie,tsne_x,tsne_y
6_fig_3,seen,1,החזיק אצבעות,-13.251656,-3.0814545
6_fig_17,seen,1,החזיק אצבעות,-39.481327,-2.3094316
6_fig_22,seen,1,החזיק אצבעות,-14.338894,-1.2968395
7_lit_10,seen,0,הייתה בעננים,47.70306,-8.792673
7_lit_14,seen,0,הייתה בעננים,43.900265,-13.973275
7_lit_30,seen,0,הייתה בעננים,23.856014,0.2152744
7_lit_35,seen,0,הייתה בעננים,24.093742,0.76890576
7_fig_5,seen,1,הייתה בעננים,-15.772437,-19.160378
7_fig_36,seen,1,הייתה בעננים,-46.140415,-8.317191
7_fig_37,seen,1,הייתה בעננים,-37.85415,18.470991
7_fig_40,seen,1,הייתה בעננים,-14.836741,8.249031
8_lit_1,seen,0,הלך בין טיפות,34.80691,6.767069
8_lit_12,seen,0,הלך בין טיפות,42.962177,8.99059
8_lit_32,seen,0,הלך בין טיפות,36.148277,1.804572
8_lit_34,seen,0,הלך בין טיפות,43.04116,9.937974
8_fig_7,seen,1,הלך בין טיפות,-33.38412,2.495791
8_fig_11,seen,1,הלך בין טיפות,-30.907864,6.0746746
8_fig_13,seen,1,הלך בין טיפות,-31.016659,8.586055
8_fig_30,seen,1,הלך בין טיפות,-25.091125,-2.9179983
9_lit_8,seen,0,הלך על ביצים,50.61075,6.0854297
9_lit_18,seen,0,הלך על ביצים,49.818707,-12.812451
9_lit_23,seen,0,הלך על ביצים,40.34174,4.9174004
9_lit_32,seen,0,הלך על ביצים,48.494064,4.4814796
9_fig_8,seen,1,הלך על ביצים,-23.512438,3.580523
9_fig_20,seen,1,הלך על ביצים,-39.872543,-1.6837728
9_fig_37,seen,1,הלך על ביצים,-32.988277,3.023358
9_fig_39,seen,1,הלך על ביצים,-31.903517,9.367149
10_lit_21,seen,0,הניף דגל לבן,47.88643,-11.761405
10_lit_25,seen,0,הניף דגל לבן,44.379894,6.2725554
10_lit_37,seen,0,הניף דגל לבן,29.973276,-2.5022163
10_lit_40,seen,0,הניף דגל לבן,48.52265,-11.983578
10_fig_1,seen,1,הניף דגל לבן,-35.81303,1.3409951
10_fig_16,seen,1,הניף דגל לבן,-34.828236,2.1967247
10_fig_30,seen,1,הניף דגל לבן,-34.519886,-3.835156
10_fig_37,seen,1,הניף דגל לבן,-34.341667,16.917524
11_lit_7,seen,0,הרים את הראש,45.594162,7.485948
11_lit_14,seen,0,הרים את הראש,24.269432,15.93405
11_lit_24,seen,0,הרים את הראש,40.23528,1.7406155
11_lit_34,seen,0,הרים את הראש,35.02114,-14.169898
11_fig_12,seen,1,הרים את הראש,-14.989291,-20.932806
11_fig_33,seen,1,הרים את הראש,-33.911713,-2.2401161
11_fig_35,seen,1,הרים את הראש,-18.861637,-20.974148
11_fig_39,seen,1,הרים את הראש,-19.679323,-20.327444
12_lit_15,seen,0,הרים גבה,39.47447,10.783013
12_lit_18,seen,0,הרים גבה,46.379345,6.26683
12_lit_29,seen,0,הרים גבה,46.889034,7.113632
12_lit_37,seen,0,הרים גבה,46.049538,6.9210567
12_fig_14,seen,1,הרים גבה,-5.6342916,3.7349842
12_fig_16,seen,1,הרים גבה,-23.96038,4.3256974
12_fig_26,seen,1,הרים גבה,-24.741955,1.8392569
12_fig_35,seen,1,הרים גבה,-33.000374,17.035095
13_lit_13,seen,0,הרים ידיים,24.86368,15.031772
13_lit_14,seen,0,הרים ידיים,47.20507,5.2973356
13_lit_15,seen,0,הרים ידיים,43.402157,7.0511475
13_lit_37,seen,0,הרים ידיים,28.622595,16.762217
13_fig_18,seen,1,הרים ידיים,-16.517107,-14.354756
13_fig_23,seen,1,הרים ידיים,-32.51794,-6.6558404
13_fig_31,seen,1,הרים ידיים,-20.921295,-3.7675536
13_fig_35,seen,1,הרים ידיים,-35.019005,6.880204
14_lit_1,seen,0,חותך כמו סכין,35.49513,10.685266
14_lit_23,seen,0,חותך כמו סכין,33.95752,15.082943
14_lit_34,seen,0,חותך כמו סכין,27.695793,0.6903231
14_lit_36,seen,0,חותך כמו סכין,31.727823,3.1063075
14_fig_29,seen,1,חותך כמו סכין,-28.624249,-16.776121
14_fig_30,seen,1,חותך כמו סכין,-29.293112,-15.671923
14_fig_36,seen,1,חותך כמו סכין,-28.35643,-16.307652
14_fig_40,seen,1,חותך כמו סכין,-35.543087,19.10433
15_lit_15,seen,0,חזר למסלול,19.935549,6.209561
15_lit_19,seen,0,חזר למסלול,35.315407,5.015701
15_lit_25,seen,0,חזר למסלול,22.739204,1.2289371
15_lit_28,seen,0,חזר למסלול,25.948778,5.9769945
15_fig_3,seen,1,חזר למסלול,-32.871296,4.471751
15_fig_12,seen,1,חזר למסלול,-9.240338,2.8935997
15_fig_20,seen,1,חזר למסלול,-32.307404,-4.521802
15_fig_23,seen,1,חזר למסלול,-9.452582,0.37717107
16_lit_4,seen,0,חטף חום,29.262398,3.9806275
16_lit_6,seen,0,חטף חום,28.898544,4.2184825
16_lit_10,seen,0,חטף חום,32.210926,4.713837
16_lit_15,seen,0,חטף חום,33.203384,6.4940534
16_fig_4,seen,1,חטף חום,-34.91416,4.9236207
16_fig_30,seen,1,חטף חום,-47.555824,2.9024692
16_fig_35,seen,1,חטף חום,-35.01075,16.881851
16_fig_39,seen,1,חטף חום,-34.485275,19.390627
17_lit_19,seen,0,חטף מכה,36.734257,6.405145
17_lit_21,seen,0,חטף מכה,36.945198,5.5789437
17_lit_30,seen,0,חטף מכה,36.688583,4.7811813
17_lit_35,seen,0,חטף מכה,37.941387,5.4897075
17_fig_11,seen,1,חטף מכה,-16.13953,-8.605076
17_fig_35,seen,1,חטף מכה,-34.842133,17.470629
17_fig_39,seen,1,חטף מכה,-35.36871,17.939571
17_fig_40,seen,1,חטף מכה,-46.83424,-8.470865
18_lit_11,seen,0,חיבר נקודות,52.197422,-3.007129
18_lit_13,seen,0,חיבר נקודות,49.694244,0.16701232
18_lit_20,seen,0,חיבר נקודות,0.34533405,1.2112992
18_lit_32,seen,0,חיבר נקודות,52.098278,-2.8107204
18_fig_20,seen,1,חיבר נקודות,-36.40556,-8.97202
18_fig_23,seen,1,חיבר נקודות,-36.416153,-9.1650505
18_fig_24,seen,1,חיבר נקודות,-35.97664,-8.119509
18_fig_40,seen,1,חיבר נקודות,-5.606157,1.1600698
21_lit_10,seen,0,יצא מהקופסה,42.64751,-3.3270051
21_lit_11,seen,0,יצא מהקופסה,43.437305,-3.527497
21_lit_19,seen,0,יצא מהקופסה,45.252934,-3.9826107
21_lit_29,seen,0,יצא מהקופסה,42.584644,-2.5846112
21_fig_2,seen,1,יצא מהקופסה,-14.447212,8.251121
21_fig_6,seen,1,יצא מהקופסה,-15.859463,-19.429514
21_fig_18,seen,1,יצא מהקופסה,-35.669434,-6.069099
21_fig_20,seen,1,יצא מהקופסה,-35.26655,-6.5053196
22_lit_12,seen,0,ירד לו האסימון,46.350666,3.5930371
22_lit_15,seen,0,ירד לו האסימון,45.883644,4.9605594
22_lit_25,seen,0,ירד לו האסימון,46.968517,-0.9625743
22_lit_27,seen,0,ירד לו האסימון,46.614433,3.4034379
22_fig_12,seen,1,ירד לו האסימון,17.166296,-3.4164898
22_fig_24,seen,1,ירד לו האסימון,-45.971924,-4.8808317
22_fig_27,seen,1,ירד לו האסימון,-33.007397,13.034086
22_fig_36,seen,1,ירד לו האסימון,-21.75511,-17.994717
23_lit_5,seen,0,ירד מהעץ,44.670998,-10.757164
23_lit_7,seen,0,ירד מהעץ,29.602112,-4.09789
23_lit_28,seen,0,ירד מהעץ,26.355576,2.8981435
23_lit_38,seen,0,ירד מהעץ,46.5322,9.122256
23_fig_18,seen,1,ירד מהעץ,-23.43987,7.0918155
23_fig_20,seen,1,ירד מהעץ,-14.080871,4.9584937
23_fig_23,seen,1,ירד מהעץ,-7.676323,7.367133
23_fig_32,seen,1,ירד מהעץ,-22.920534,-2.6579218
24_lit_17,seen,0,ירד מהפסים,31.065836,10.693899
24_lit_23,seen,0,ירד מהפסים,31.413677,12.193998
24_lit_28,seen,0,ירד מהפסים,31.141138,11.108844
24_lit_29,seen,0,ירד מהפסים,21.3354,6.3012385
24_fig_19,seen,1,ירד מהפסים,-43.24284,-1.1364605
24_fig_21,seen,1,ירד מהפסים,-42.166443,-0.59853977
24_fig_25,seen,1,ירד מהפסים,-37.97388,-1.6240561
24_fig_35,seen,1,ירד מהפסים,-36.071396,-0.6087876
25_lit_20,seen,0,ירה לכל הכיוונים,47.82801,-13.209683
25_lit_27,seen,0,ירה לכל הכיוונים,25.99264,2.9384015
25_lit_29,seen,0,ירה לכל הכיוונים,14.715963,4.7383914
25_lit_36,seen,0,ירה לכל הכיוונים,-1.4172733,3.1024685
25_fig_10,seen,1,ירה לכל הכיוונים,2.0442104,2.823731
25_fig_17,seen,1,ירה לכל הכיוונים,14.72126,4.7337346
25_fig_20,seen,1,ירה לכל הכיוונים,-40.78889,-7.7294064
25_fig_22,seen,1,ירה לכל הכיוונים,-38.534786,-2.8371968
26_lit_1,seen,0,ירק דם,38.049633,10.0444765
26_lit_7,seen,0,ירק דם,33.084305,-17.22345
26_lit_27,seen,0,ירק דם,30.488504,-0.11878538
26_lit_37,seen,0,ירק דם,41.21025,0.9647985
26_fig_3,seen,1,ירק דם,-17.41671,-5.513665
26_fig_9,seen,1,ירק דם,-18.72151,3.3376982
26_fig_14,seen,1,ירק דם,-44.577374,-8.537051
26_fig_17,seen,1,ירק דם,-35.18596,-3.1649244
27_lit_3,seen,0,לב זהב,33.469185,-2.6789138
27_lit_4,seen,0,לב זהב,56.182014,1.9469218
27_lit_7,seen,0,לב זהב,33.621395,-2.2710476
27_lit_30,seen,0,לב זהב,55.94037,1.329128
27_fig_12,seen,1,לב זהב,-16.612051,-11.290285
27_fig_17,seen,1,לב זהב,-34.52178,-7.693539
27_fig_24,seen,1,לב זהב,-45.094482,-11.061692
27_fig_29,seen,1,לב זהב,-45.29718,-10.366541
28_lit_7,seen,0,לקח צעד אחורה,42.422455,7.6964674
28_lit_16,seen,0,לקח צעד אחורה,51.303932,-3.5081134
28_lit_23,seen,0,לקח צעד אחורה,48.022835,6.8620167
28_lit_39,seen,0,לקח צעד אחורה,41.324898,6.2622066
28_fig_9,seen,1,לקח צעד אחורה,-6.425489,1.6511213
28_fig_12,seen,1,לקח צעד אחורה,-21.564104,-2.9473193
28_fig_28,seen,1,לקח צעד אחורה,-14.640915,-17.654121
28_fig_34,seen,1,לקח צעד אחורה,-9.24103,-3.4425147
29_lit_4,seen,0,משך בחוטים,48.81023,4.156612
29_lit_15,seen,0,משך בחוטים,47.566895,-2.3650799
29_lit_29,seen,0,משך בחוטים,39.951736,1.8269788
29_lit_37,seen,0,משך בחוטים,46.381016,-2.242619
29_fig_4,seen,1,משך בחוטים,-17.858665,-12.485254
29_fig_8,seen,1,משך בחוטים,-18.694757,-12.434434
29_fig_13,seen,1,משך בחוטים,-22.523237,-6.031187
29_fig_29,seen,1,משך בחוטים,17.88227,-2.9100337
30_lit_17,seen,0,נכנס מתחת לאלונקה,24.990019,14.471227
30_lit_24,seen,0,נכנס מתחת לאלונקה,15.024861,-5.6821346
30_lit_32,seen,0,נכנס מתחת לאלונקה,46.531998,9.649525
30_lit_40,seen,0,נכנס מתחת לאלונקה,15.008216,-5.694484
30_fig_14,seen,1,נכנס מתחת לאלונקה,-21.071678,-1.8065743
30_fig_17,seen,1,נכנס מתחת לאלונקה,-36.210796,-11.928964
30_fig_24,seen,1,נכנס מתחת לאלונקה,-36.19004,-11.940286
30_fig_36,seen,1,נכנס מתחת לאלונקה,-29.688278,4.4491725
31_lit_1,seen,0,נפל בין הכיסאות,33.769497,10.391065
31_lit_10,seen,0,נפל בין הכיסאות,38.76158,-2.9555728
31_lit_17,seen,0,נפל בין הכיסאות,34.338673,-1.2103846
31_lit_23,seen,0,נפל בין הכיסאות,38.565178,-2.8882244
31_fig_7,seen,1,נפל בין הכיסאות,-7.1911635,-3.0201252
31_fig_18,seen,1,נפל בין הכיסאות,-23.470367,-9.199555
31_fig_21,seen,1,נפל בין הכיסאות,-25.432137,-2.9238994
31_fig_25,seen,1,נפל בין הכיסאות,-23.38965,-9.244706
32_lit_12,seen,0,נפל מהכיסא,36.15534,4.4987884
32_lit_17,seen,0,נפל מהכיסא,42.467175,6.0584016
32_lit_19,seen,0,נפל מהכיסא,37.07369,3.6338556
32_lit_22,seen,0,נפל מהכיסא,37.3439,3.0979905
32_fig_7,seen,1,נפל מהכיסא,-17.761288,-8.5187435
32_fig_8,seen,1,נפל מהכיסא,-17.87916,-14.67765
32_fig_23,seen,1,נפל מהכיסא,-45.29722,-8.05598
32_fig_39,seen,1,נפל מהכיסא,-36.91751,17.233088
34_lit_8,seen,0,נשבר מבפנים,40.4554,-3.7173226
34_lit_18,seen,0,נשבר מבפנים,30.901436,13.050452
34_lit_22,seen,0,נשבר מבפנים,32.05118,12.75654
34_lit_30,seen,0,נשבר מבפנים,42.545948,-3.809621
34_fig_3,seen,1,נשבר מבפנים,-16.448565,-5.9855
34_fig_4,seen,1,נשבר מבפנים,-17.48088,-7.813728
34_fig_27,seen,1,נשבר מבפנים,-48.529587,3.452454
34_fig_30,seen,1,נשבר מבפנים,-36.258736,-1.6219927
35_lit_8,seen,0,נשך שפתיים,38.287277,9.595422
35_lit_11,seen,0,נשך שפתיים,17.648449,8.095278
35_lit_22,seen,0,נשך שפתיים,38.488903,8.668741
35_lit_25,seen,0,נשך שפתיים,39.993877,9.203787
35_fig_2,seen,1,נשך שפתיים,-22.436323,2.3762376
35_fig_9,seen,1,נשך שפתיים,-3.2286468,3.6083865
35_fig_25,seen,1,נשך שפתיים,-33.28024,0.81878835
35_fig_37,seen,1,נשך שפתיים,-32.2011,9.992859
36_lit_16,seen,0,נתן גז,43.446484,6.8134756
36_lit_28,seen,0,נתן גז,21.956753,9.727033
36_lit_31,seen,0,נתן גז,30.652956,9.785835
36_lit_39,seen,0,נתן גז,44.001324,5.2151556
36_fig_1,seen,1,נתן גז,-17.771072,-18.235008
36_fig_2,seen,1,נתן גז,-17.118246,-15.131872
36_fig_7,seen,1,נתן גז,-30.051579,0.04763473
36_fig_32,seen,1,נתן גז,-28.092485,-2.1588857
37_lit_7,seen,0,נתן יד,45.296265,-9.695419
37_lit_8,seen,0,נתן יד,39.358913,5.420458
37_lit_30,seen,0,נתן יד,39.252487,4.891615
37_lit_34,seen,0,נתן יד,45.865707,8.535471
37_fig_5,seen,1,נתן יד,-19.213999,-12.70638
37_fig_28,seen,1,נתן יד,-28.429098,1.093861
37_fig_33,seen,1,נתן יד,-22.076775,-6.594439
37_fig_40,seen,1,נתן יד,-19.71435,-11.115283
38_lit_9,seen,0,סגר חשבון,38.880287,21.399197
38_lit_10,seen,0,סגר חשבון,38.773132,21.493998
38_lit_27,seen,0,סגר חשבון,39.02146,21.310375
38_lit_32,seen,0,סגר חשבון,38.737316,21.562206
38_fig_2,seen,1,סגר חשבון,-14.256422,-22.141151
38_fig_13,seen,1,סגר חשבון,-21.122412,5.135646
38_fig_21,seen,1,סגר חשבון,-27.22433,9.558391
38_fig_30,seen,1,סגר חשבון,-25.63002,-15.0941305
39_lit_2,seen,0,עשה סלט,52.903915,-8.986139
39_lit_19,seen,0,עשה סלט,3.5162582,1.2871532
39_lit_34,seen,0,עשה סלט,52.823765,-8.86407
39_lit_38,seen,0,עשה סלט,4.247098,0.65285504
39_fig_3,seen,1,עשה סלט,-16.535006,-12.531647
39_fig_22,seen,1,עשה סלט,-40.5081,-4.3247347
39_fig_25,seen,1,עשה סלט,-40.49002,-3.3875103
39_fig_30,seen,1,עשה סלט,-40.214542,-3.6127508
40_lit_5,seen,0,עשה סצנה,26.17678,-13.523211
40_lit_7,seen,0,עשה סצנה,26.168114,-13.490275
40_lit_11,seen,0,עשה סצנה,55.235294,-4.2608542
40_lit_16,seen,0,עשה סצנה,26.150703,-13.516505
40_fig_3,seen,1,עשה סצנה,-2.1740158,5.2313924
40_fig_24,seen,1,עשה סצנה,-29.218073,11.185749
40_fig_32,seen,1,עשה סצנה,-2.1314802,5.747276
40_fig_36,seen,1,עשה סצנה,2.1757,3.589647
41_lit_12,seen,0,פתח דלתות,43.025547,0.63584083
41_lit_13,seen,0,פתח דלתות,43.921387,-0.58330274
41_lit_15,seen,0,פתח דלתות,44.946693,-0.09918134
41_lit_28,seen,0,פתח דלתות,34.001926,13.361204
41_fig_2,seen,1,פתח דלתות,-18.653587,-14.049831
41_fig_8,seen,1,פתח דלתות,-23.754168,-15.6325245
41_fig_28,seen,1,פתח דלתות,-24.016045,-15.557346
41_fig_32,seen,1,פתח דלתות,-25.554882,-15.203551
42_lit_5,seen,0,פתח דף חדש,52.880608,1.5831736
42_lit_6,seen,0,פתח דף חדש,52.754105,1.6163718
42_lit_15,seen,0,פתח דף חדש,53.90976,0.08565438
42_lit_36,seen,0,פתח דף חדש,53.47745,-0.6074032
42_fig_23,seen,1,פתח דף חדש,-34.549526,-4.4106946
42_fig_28,seen,1,פתח דף חדש,-33.905857,-5.1766906
42_fig_30,seen,1,פתח דף חדש,-33.835503,-3.0428636
42_fig_32,seen,1,פתח דף חדש,-28.07432,7.9807014
43_lit_1,seen,0,פתח עיניים,21.428173,18.725027
43_lit_7,seen,0,פתח עיניים,36.596916,-10.403475
43_lit_27,seen,0,פתח עיניים,39.836834,7.533519
43_lit_35,seen,0,פתח עיניים,37.579433,-10.23364
43_fig_5,seen,1,פתח עיניים,-14.659112,-14.61981
43_fig_13,seen,1,פתח עיניים,-36.717335,-7.445804
43_fig_16,seen,1,פתח עיניים,-28.798132,-1.4012469
43_fig_26,seen,1,פתח עיניים,-14.836413,5.1512165
44_lit_2,seen,0,קבר את עצמו,44.388073,11.011298
44_lit_7,seen,0,קבר את עצמו,43.062027,2.679544
44_lit_23,seen,0,קבר את עצמו,-9.039953,3.38438
44_lit_29,seen,0,קבר את עצמו,43.35707,2.0566924
44_fig_13,seen,1,קבר את עצמו,-19.136213,4.1549582
44_fig_15,seen,1,קבר את עצמו,-17.347078,3.1925704
44_fig_18,seen,1,קבר את עצמו,-42.328987,-1.2441883
44_fig_37,seen,1,קבר את עצמו,-37.635834,7.056329
45_lit_6,seen,0,קיבל סטירה,41.19839,13.009617
45_lit_25,seen,0,קיבל סטירה,38.720287,6.3509912
45_lit_34,seen,0,קיבל סטירה,39.58237,4.2659664
45_lit_40,seen,0,קיבל סטירה,41.23735,13.024936
45_fig_7,seen,1,קיבל סטירה,-17.477598,-14.208554
45_fig_8,seen,1,קיבל סטירה,-11.941043,-15.243742
45_fig_34,seen,1,קיבל סטירה,-37.06631,6.159745
45_fig_38,seen,1,קיבל סטירה,-36.142387,18.294764
46_lit_13,seen,0,קיפל את הזנב,33.84761,-19.063711
46_lit_23,seen,0,קיפל את הזנב,-24.587538,-0.45478454
46_lit_33,seen,0,קיפל את הזנב,35.33932,-16.167372
46_lit_34,seen,0,קיפל את הזנב,36.99251,-13.55916
46_fig_7,seen,1,קיפל את הזנב,-15.519113,-9.731091
46_fig_24,seen,1,קיפל את הזנב,-32.354046,0.898287
46_fig_33,seen,1,קיפל את הזנב,-36.580143,0.49364972
46_fig_39,seen,1,קיפל את הזנב,-38.15844,-7.450812
47_lit_9,seen,0,קפא במקום,30.842787,3.0582068
47_lit_22,seen,0,קפא במקום,29.567593,1.8917819
47_lit_33,seen,0,קפא במקום,30.823135,3.9400964
47_lit_36,seen,0,קפא במקום,31.892681,2.955124
47_fig_17,seen,1,קפא במקום,-41.283863,3.8792095
47_fig_21,seen,1,קפא במקום,-47.303062,3.078796
47_fig_25,seen,1,קפא במקום,-48.693325,-0.100258514
47_fig_32,seen,1,קפא במקום,-33.91424,13.874742
48_lit_9,seen,0,קפץ למים,45.968678,-11.565191
48_lit_20,seen,0,קפץ למים,44.642696,-10.759673
48_lit_29,seen,0,קפץ למים,47.045742,-11.7113495
48_lit_30,seen,0,קפץ למים,47.306755,-12.719767
48_fig_1,seen,1,קפץ למים,-18.341805,6.2254057
48_fig_12,seen,1,קפץ למים,-17.85232,5.2746572
48_fig_26,seen,1,קפץ למים,-38.55365,0.95498145
48_fig_37,seen,1,קפץ למים,-33.043133,5.190843
50_lit_10,seen,0,שבר את הכלים,37.347546,7.994472
50_lit_11,seen,0,שבר את הכלים,37.075268,-0.95314807
50_lit_21,seen,0,שבר את הכלים,36.868618,-0.8481938
50_lit_29,seen,0,שבר את הכלים,37.493603,1.6834487
50_fig_1,seen,1,שבר את הכלים,-26.874962,-0.4417161
50_fig_7,seen,1,שבר את הכלים,-15.5524435,-8.451966
50_fig_27,seen,1,שבר את הכלים,-26.020563,-0.9761051
50_fig_38,seen,1,שבר את הכלים,-14.599079,-16.368156
51_lit_19,seen,0,שבר את הלב,29.710154,3.399803
51_lit_21,seen,0,שבר את הלב,37.89373,-2.4356585
51_lit_27,seen,0,שבר את הלב,27.84735,12.730483
51_lit_38,seen,0,שבר את הלב,26.705078,0.7609933
51_fig_3,seen,1,שבר את הלב,-16.915174,-8.968003
51_fig_5,seen,1,שבר את הלב,-43.92767,-4.066903
51_fig_13,seen,1,שבר את הלב,-25.620564,2.324873
51_fig_40,seen,1,שבר את הלב,-46.48872,-8.591119
52_lit_5,seen,0,שבר את הקרח,30.258606,3.717096
52_lit_8,seen,0,שבר את הקרח,34.0032,1.5129628
52_lit_20,seen,0,שבר את הקרח,31.49284,5.7367516
52_lit_37,seen,0,שבר את הקרח,33.555077,4.844525
52_fig_3,seen,1,שבר את הקרח,-12.94022,-8.893474
52_fig_7,seen,1,שבר את הקרח,-25.91272,14.031622
52_fig_27,seen,1,שבר את הקרח,-4.0797343,3.8715997
52_fig_40,seen,1,שבר את הקרח,-26.688002,10.762656
53_lit_11,seen,0,שבר את הראש,35.796814,5.6857247
53_lit_15,seen,0,שבר את הראש,25.21969,10.986747
53_lit_27,seen,0,שבר את הראש,41.639057,4.7790585
53_lit_32,seen,0,שבר את הראש,25.303196,11.016407
53_fig_6,seen,1,שבר את הראש,-49.082882,-3.1354475
53_fig_22,seen,1,שבר את הראש,-31.014206,3.0847855
53_fig_35,seen,1,שבר את הראש,-26.982702,4.8165145
53_fig_40,seen,1,שבר את הראש,-37.967545,2.6463115
54_lit_6,seen,0,שבר את תקרת הזכוכית,37.10603,7.6616793
54_lit_10,seen,0,שבר את תקרת הזכוכית,36.013187,13.954153
54_lit_12,seen,0,שבר את תקרת הזכוכית,37.952312,2.1182559
54_lit_28,seen,0,שבר את תקרת הזכוכית,38.62566,3.6659806
54_fig_8,seen,1,שבר את תקרת הזכוכית,-20.069061,5.1560564
54_fig_30,seen,1,שבר את תקרת הזכוכית,-15.573973,11.339559
54_fig_36,seen,1,שבר את תקרת הזכוכית,-39.23328,-10.5121355
54_fig_40,seen,1,שבר את תקרת הזכוכית,-17.623056,-22.051792
56_lit_6,seen,0,שחרר קיטור,38.528507,16.055946
56_lit_14,seen,0,שחרר קיטור,38.319164,15.779374
56_lit_29,seen,0,שחרר קיטור,38.36839,15.7973385
56_lit_32,seen,0,שחרר קיטור,30.028212,10.991591
56_fig_13,seen,1,שחרר קיטור,-21.035032,7.025815
56_fig_30,seen,1,שחרר קיטור,-16.825445,13.374695
56_fig_33,seen,1,שחרר קיטור,-15.705296,13.72812
56_fig_34,seen,1,שחרר קיטור,-22.7488,-0.7808379
57_lit_25,seen,0,שיחק באש,37.33383,1.2621667
57_lit_29,seen,0,שיחק באש,38.782116,1.0233245
57_lit_32,seen,0,שיחק באש,31.972063,4.9473815
57_lit_33,seen,0,שיחק באש,36.230186,9.904311
57_fig_9,seen,1,שיחק באש,-48.438587,-2.170693
57_fig_15,seen,1,שיחק באש,-40.591347,10.115208
57_fig_21,seen,1,שיחק באש,-17.749313,3.0650446
57_fig_40,seen,1,שיחק באש,-38.77329,-0.78672945
58_lit_6,seen,0,שם עליו פס,48.76311,-5.5600615
58_lit_8,seen,0,שם עליו פס,33.55808,12.207717
58_lit_13,seen,0,שם עליו פס,34.77857,13.338159
58_lit_21,seen,0,שם עליו פס,28.139196,8.569122
58_fig_2,seen,1,שם עליו פס,-20.98965,3.0915446
58_fig_9,seen,1,שם עליו פס,-26.342972,0.87748045
58_fig_27,seen,1,שם עליו פס,-24.811794,-4.731935
58_fig_29,seen,1,שם עליו פס,-47.933723,-1.6679441
59_lit_1,seen,0,שם רגליים,45.166264,-9.07115
59_lit_3,seen,0,שם רגליים,43.383522,10.998192
59_lit_13,seen,0,שם רגליים,44.593014,1.8631941
59_lit_30,seen,0,שם רגליים,39.542915,2.6953783
59_fig_2,seen,1,שם רגליים,-17.413364,-20.032364
59_fig_6,seen,1,שם רגליים,-16.37777,-10.36895
59_fig_9,seen,1,שם רגליים,-35.91494,1.1936733
59_fig_37,seen,1,שם רגליים,-37.95445,-0.72672063
60_lit_10,seen,0,שפכה אור,23.410913,1.4635451
60_lit_19,seen,0,שפכה אור,31.072262,-0.74320006
60_lit_20,seen,0,שפכה אור,28.916702,-1.3402469
60_lit_35,seen,0,שפכה אור,28.609755,-0.9598695
60_fig_25,seen,1,שפכה אור,-26.80658,-16.41489
60_fig_35,seen,1,שפכה אור,-5.068404,-0.29734686
60_fig_37,seen,1,שפכה אור,-6.8351297,-2.8095503
60_fig_40,seen,1,שפכה אור,-26.800024,-16.543514
