split,model,category,id,sentence,cls_true,cls_pred,cls_confidence,span_error_category
seen_test,xlm-roberta-base,span_only,18_lit_20,"היא חיברה נקודות שהקבצוצה השיגה במספר תחרויות שונות בתחרות הארצית, ושאלו את עצמם האם יש להם סיכוי לנצח את זה הפעם?",0,1,0.7732464075088501,PERFECT
seen_test,xlm-roberta-base,span_only,1_fig_39,"מרוב התרגשות בטקס, היא איבדה את הצפון ולא הצליחה להשתלט על פרץ הבכי.",1,0,0.9503345489501953,PERFECT
unseen_test,neodictabert,cls_only,19_lit_9,ביצירה החדשה שלה כשציירה סצנה המבוססת על אירוע אמיתי מהשואה היא חצתה קו אדום – המבקרים התלבטו: אמנות אמיצה או פגיעה בזיכרון?,0,0,0.9646820425987244,PARTIAL_END
unseen_test,neodictabert,cls_only,19_fig_37,כשזלזלת בהורים שלך בצורה כזאת את חצית קו אדום.,1,1,0.9607174396514893,PARTIAL_END
unseen_test,neodictabert,cls_only,49_lit_33,"הכתבת בתוכנית החדשות ניסתה להסביר איך הכלב שהפך לתופעת רשת רץ אחרי הזנב של עצמו בלי סיבה נראית לעין, אבל נראה שהצופים רק חייכו מהחמידות שלו.",0,0,0.9577108025550842,PARTIAL_END
unseen_test,neodictabert,cls_only,19_fig_28,הסטודנט חצה קו אדום כשניסה לשחד את המרצה.,1,1,0.9576377868652344,PARTIAL_END
unseen_test,neodictabert,cls_only,19_fig_15,"הוא חצה קו אדום כשהשתמש בפרטים אישיים של בת זוגו במהלך ויכוח, ורק כשנפרדה ממנו הבין שהמילים שלו השאירו צלקת שלא תיעלם בקלות.",1,1,0.9571625590324402,PARTIAL_END
unseen_test,neodictabert,span_only,19_fig_29,העובד חצה קו אדום כשחיפש מידע פרטי במחשב החברה.,1,0,0.6186984181404114,PERFECT
unseen_test,neodictabert,span_only,20_fig_9,"במהלך פרויקט השיפוץ הגדול, הקבלן החליט לחתוך פינה כדי לחסוך בעלויות העבודה, אך אם היה מבין מראש שהמהלך הזה יגרום נזק למערכת החשמל כולה – אולי היה עוצר בזמן ומונע הפסד עצום.",1,0,0.9503363966941833,PERFECT
unseen_test,neodictabert,span_only,20_lit_10,"במקום לשייף אותה במהלך בניית המודל, היא חתכה פינה, אך קיצרו הדרך שביצעה גרם לאי דיוקים במודל ולחוסר שביעות רצון מצד הלקוחות, האם המהירות באמת הצילה לה זמן?",0,1,0.9484922885894775,PERFECT
unseen_test,neodictabert,span_only,2_fig_16,הוא איבד את הראש מהכעס ונעל את הדלת בחוזקה וכמעט שבר אותה,1,0,0.9516314268112183,PERFECT
unseen_test,neodictabert,span_only,2_fig_31,הילד איבד את הראש מרוב צעקות ופחד על הבמה.,1,0,0.9150682091712952,PERFECT
unseen_test,xlm-roberta-base,cls_only,33_lit_35,"המדריך קרא לקבוצה ואמר ""הנוף היפה ביותר מחכה רק למי שמוכן להתאמץ עוד קצת, אל תישארו מאחור במסע ההרפתקה הזה"".",0,0,0.965781569480896,MISS
unseen_test,xlm-roberta-base,cls_only,55_fig_4,"אם בכיר בענף האנרגיה שובר שתיקה ומודה שהנתונים סביב הזיהום הוסתרו במכוון, האם הציבור יסלח לו על הניסיון לתקן ולחשוף או שישמור לו טינה על השתיקה הארוכה?",1,1,0.9648169875144958,MISS
unseen_test,xlm-roberta-base,cls_only,19_fig_34,"כשהמנכ""ל חשף נתונים פנימיים לתקשורת כדי להציל את תדמיתו, רבים טענו שהוא חצה קו אדום מוסרי – האם באמת מותר לפגוע באמון החברה כדי לשמור על מוניטין אישי?",1,1,0.9646393656730652,PARTIAL_END
unseen_test,xlm-roberta-base,cls_only,49_lit_35,הנמר בגן הספארי רץ אחרי הזנב של עצמו להנאת המבקרים,0,0,0.9646190404891968,PARTIAL_END
unseen_test,xlm-roberta-base,cls_only,55_fig_29,"המאמן שבר שתיקה במסיבת העיתונאים לאחר ההפסד הדרמטי בגמר, והאשים את הנהלת הקבוצה בכך שלא סיפקה לו את הכלים לנצח, למרות שהשחקנים טענו אחרת.",1,1,0.9644736647605896,WRONG_SPAN
unseen_test,xlm-roberta-base,span_only,19_fig_35,"כשהעביר כספים מהחשבון המשותף לחשבון פרטי הוא חצה קו אדום והצדיק זאת בכך ש“הכול נשאר במשפחה”, זו לא טעות, זו הפרת אמון מוחלטת.",1,0,0.7422569990158081,PERFECT
unseen_test,xlm-roberta-base,span_only,19_fig_37,כשזלזלת בהורים שלך בצורה כזאת את חצית קו אדום.,1,0,0.58982914686203,PERFECT
unseen_test,xlm-roberta-base,span_only,20_fig_10,"במחלקת הפיתוח, העובדים חתכו פינה בתהליך הבדיקה הסופית, וכשלקוחות החלו לדווח על תקלות, המנכ""ל שאל בכעס: “כמה עוד נשלם על העצלות שלכם שאתם מנסים להסתיר כיעילות?”",1,0,0.774098813533783,PERFECT
unseen_test,xlm-roberta-base,span_only,20_fig_11,"במקום להשלים את כל הבדיקות הנדרשות, המהנדס חתך פינה בתכנון הגשר כדי לעמוד בלוחות הזמנים הצפופים; אך כשהמבנה קרס חלקית, איש כבר לא שאל כמה זמן נחסך, אלא כמה חיי אדם הלכו לאיבוד.",1,0,0.9575607776641846,PERFECT
unseen_test,xlm-roberta-base,span_only,20_fig_12,במשמרת בבית החולים היא חתכה פינה וזה עלה ביוקר.,1,0,0.9605627655982971,PERFECT
