split,task,anchor_model,id,selection_reason,base_pie,pie_span,sentence,target_expressions
seen_test,cls,neodictabert,25_lit_20,target_expression,ירה לכל הכיוונים,ירתה לכל הכיוונים,היא ירתה לכל הכיוונים במשחק פיינטבול.,"עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,46_lit_13,target_expression,קיפל את הזנב,מקפלת את הזנב,האם גם הכלבה שלך מקפלת את הזנב בכל פעם שהיא מבינה שעשתה משהו שאסור? כי שלי כבר למדה לזהות את המבט שלי עוד לפני שאני אומר מילה אחת.,"עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,6_lit_9,target_expression,החזיק אצבעות,החזיק אצבעות,הוא החזיק אצבעות בחוזקה כשקיווה להפתעה,"עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,44_lit_2,target_expression,קבר את עצמו,קובר את עצמו,"אם הוא היה יודע כמה מסוכן זה, אולי לא היה קובר את עצמו עד הראש בחול כשההורים לא מסתכלים – המשחק התמים בחוף הפך לשיעור חשוב על גבולות ומודעות.","עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,span,neodictabert,6_lit_9,low_conf_correct,החזיק אצבעות,החזיק אצבעות,הוא החזיק אצבעות בחוזקה כשקיווה להפתעה,"הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,6_lit_37,low_conf_correct,החזיק אצבעות,החזיק אצבעות,"כשהביט בשעון, הוא החזיק אצבעות.","הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,6_fig_1,low_conf_correct,החזיק אצבעות,החזיק אצבעות,אלכס חשב שעבד והשקיע המון בחודש האחרון אז הוא החזיק אצבעות שהמעסיק שלו שם לב לזה ויתגמל אותו על כך.,"הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,6_fig_3,low_conf_correct,החזיק אצבעות,יחזיק אצבעות,"אם הוא לא יחזיק אצבעות שהמחשב יעבוד בזמן המצגת, כנראה שגם כישרון לא יציל אותו; אבל הפעם, אולי בזכות הלחץ או הנס, השקופיות הופיעו בדיוק בזמן.","הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,6_fig_17,low_conf_correct,החזיק אצבעות,החזיקה אצבעות,היא החזיקה אצבעות שהשופט יפסוק לטובתה,"הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,22_lit_12,frequent_idiom_error,ירד לו האסימון,שירד לו האסימון,הוא התכופף והרים את האסימון אחרי שירד לו האסימון לרצפה,"הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,29_fig_29,frequent_idiom_error,משך בחוטים,למשוך בחוט,יש לו קשרים בכל מקום הוא פשוט יודע בדיוק איפה למשוך בחוט.,"הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,11_lit_7,target_expression,הרים את הראש,מרימה את הראש,"אם היא לא הייתה מרימה את הראש מהספר באותו רגע, לא הייתה שמה לב שחברתה הטובה בוכה בשקט מולה, מה שגרם לה לסגור את הספר ולתפוס לה את היד.","הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,10_lit_21,target_expression,הניף דגל לבן,והניפה דגל לבן,הילדה הכינה והניפה דגל לבן ונופפה לחבר שלה לשלום כאשר הוא עזב אותה באמצע היום.,"הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,36_lit_16,target_expression,נתן גז,נתנה גז,היא נתנה גז והכינה סיבוב חד עם הקורקינט,"הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,30_lit_17,target_expression,נכנס מתחת לאלונקה,נכנסה מתחת לאלונקה,היא נכנסה מתחת לאלונקה בשקט מוחלט למרות המשקל העצום שהיה על כתפיה.,"הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,29_lit_4,target_expression,משך בחוטים,מושך בחוטים,"אם הוא לא היה מושך בחוטים של המכונית הקטנה בצורה מדוייקת, היא לא הייתה נוסעת ישר אלא נתקעת, אבל מי בכלל צריך שלמות כשיש צחוק אמיתי באמצע המשחק?","הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,1_lit_26,category_PERFECT,איבד את הצפון,איבדו את הצפון,הם איבדו את הצפון בסירה בלב הים,"הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,1_lit_28,category_PERFECT,איבד את הצפון,איבדו את הצפון,הם איבדו את הצפון כשהמדריך נעלם,"הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
seen_test,span,neodictabert,1_lit_32,category_PERFECT,איבד את הצפון,איבדו את הצפון,"כשהמכשיר איתור קרס באמצע תרגיל לילי, החיילים איבדו את הצפון והסמל צעק “למה אף אחד לא קרא את המפה כמו שצריך?” בזמן שכולם הסתובבו במעגלים בתוך השטח הפתוח.","הרים את הראש, ירד לו האסימון, הניף דגל לבן, נתן גז, נכנס מתחת לאלונקה, משך בחוטים"
unseen_test,cls,neodictabert,2_fig_2,low_conf_correct,איבד את הראש,איבדה את הראש,איילת איבדה את הראש בשופינג וקנתה בלי לחשוב.,"רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,2_fig_3,low_conf_correct,איבד את הראש,אאבד את הראש,"אם אני לא אאבד את הראש מהעומס של כל המשפטים שנותרו לי לכתוב, כנראה שאמצא דרך להפוך את הטירוף הזה להישג קטן של נחישות.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,19_lit_2,low_conf_correct,חצה קו אדום,לחצות קו אדום,"אם הולך רגל בוחר לחצות קו אדום באמצע הכביש הסואן, מי באמת אשם כשהתאונה קורית – הנהג שלא בלם בזמן, או הולך הרגל שהתעלם מהחוקים?","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,19_lit_3,low_conf_correct,חצה קו אדום,לחצות קווים אדומים,"אם הרץ ימשיך לחצות קווים אדומים במסלול כדי לקצר את הדרך, הוא לעולם לא יבין את המשמעות של ניצחון אמיתי שנבנה ביושר ובהשקעה.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,19_lit_21,low_conf_correct,חצה קו אדום,שחצה את הקו האדום,"הוא טען בתמימות שחצה את הקו האדום רק כדי להגיע מהר יותר לקהל, אבל האבטחה ראתה בזה הפרת נהלים – וההופעה נעצרה ברגע השיא.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,55_lit_1,frequent_idiom_error,שבר שתיקה,שובר שתיקה,"אם היית שובר שתיקה מוקדם יותר, אולי היינו מצליחים להבין מה בדיוק קרה באותו יום גורלי.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,2_lit_37,frequent_idiom_error,איבד את הראש,איבדה את הראש,מהלחץ של הילדים הבובה איבדה את הראש והתפרקה,"רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,33_lit_2,frequent_idiom_error,נשאר מאחור,יישאר מאחור,"אם העובד החדש ימשיך להסס בזמן שהצוות מתקדם בטיול, הוא יישאר מאחור ועלול ללכת לאיבוד בטיול המחלקתי.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,55_lit_8,ensure_error_case,שבר שתיקה,שבר שתיקה,"במהלך ההלוויה של החייל הגיבור, שהייתה עצובה מאוד בגלל הנסיבות הוא שבר שתיקה רועמת, וביקש לדבר למרות שהמארגנים ביקשו לשמור על דממה מוחלטת עד לסיום הטקס.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,55_lit_18,ensure_error_case,שבר שתיקה,שברה שתיקה,היא שאלה בקול ברור אם מישהו בכלל מקשיב למה שקורה סביבה ומשלא קיבלה תשובה היא שברה שתיקה.,"רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,49_lit_1,target_expression,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו,"אל תיבהל אם תראה את הכלב רץ אחרי הזנב של עצמו בפארק, אמר השומר לזקן שישב על הספסל – זה בסך הכול סימן שהוא שמח מדי, לא משוגע.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,33_lit_1,target_expression,נשאר מאחור,נשאר מאחור,"אם המטופל נשאר מאחור בתור לחיסון, אולי זה סימן שהוא פשוט חושש, אמר הרופא, ויצא לדבר איתו באופן אישי.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,19_lit_1,target_expression,חצה קו אדום,חוצה את הקו האדום,"אם הולך הרגל לא היה חוצה את הקו האדום ברמזור, ייתכן שלא היה כמעט נפגע מהרכב שחלף במהירות – לפעמים שנייה אחת משנה הכול.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,20_lit_1,target_expression,חתך פינה,חתכו פינה,"אחרי שהם חשבו רבות על מה לעשות כדי שהוא יתאים בדיוק לצורת הקיר, הם חתכו פינה בצד הארון ואז זה הסתדר בול.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,cls,neodictabert,2_lit_1,target_expression,איבד את הראש,מאבד את הראש,"אם החייל הקטן היה עשוי מברזל ולא מפלסטיק זול, הוא לא היה מאבד את הראש בקרב המדומיין, אבל אולי אז היה מאבד משהו אחר – את הדמיון של הילד ששיחק בו.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,19_lit_4,low_conf_correct,חצה קו אדום,חוצה את הקו האדום,"אם הרץ לא היה חוצה את הקו האדום שסימן את גבול המסלול, ייתכן שהיה מנצח בתחרות במקום להיפסל רגע לפני הסוף.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,20_lit_34,low_conf_correct,חתך פינה,לחתוך פינה,הצבעי הציע לחתוך פינה אחת מהארון מכיוון שלא ניתן לשחזר אותה בעזרת צבע.,"רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,33_lit_19,low_conf_correct,נשאר מאחור,נשארה מאחור,"היא נשארה מאחור בתחנת הרכבת בכוונה, רק כדי ליהנות מהשקט ומהמוזיקה שבאוזניות לפני הנסיעה הארוכה הביתה.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,33_lit_25,low_conf_correct,נשאר מאחור,נשארה מאחור,הילדה לא שמעה את הקריאה ולכן היא נשארה מאחור בכיתה.,"רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,33_lit_31,low_conf_correct,נשאר מאחור,נשארו מאחור,הם נשארו מאחור במעבר הגבול.,"רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,49_lit_1,frequent_idiom_error,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו,"אל תיבהל אם תראה את הכלב רץ אחרי הזנב של עצמו בפארק, אמר השומר לזקן שישב על הספסל – זה בסך הכול סימן שהוא שמח מדי, לא משוגע.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,33_lit_1,frequent_idiom_error,נשאר מאחור,נשאר מאחור,"אם המטופל נשאר מאחור בתור לחיסון, אולי זה סימן שהוא פשוט חושש, אמר הרופא, ויצא לדבר איתו באופן אישי.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,19_lit_1,frequent_idiom_error,חצה קו אדום,חוצה את הקו האדום,"אם הולך הרגל לא היה חוצה את הקו האדום ברמזור, ייתכן שלא היה כמעט נפגע מהרכב שחלף במהירות – לפעמים שנייה אחת משנה הכול.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,33_lit_3,ensure_error_case,נשאר מאחור,נשאר מאחור,"אם הקבוצה תמשיך למהר מבלי לבדוק מי נשאר מאחור, היא לעולם לא תלמד את המשמעות האמיתית של עבודת צוות אמיתית.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,33_lit_5,ensure_error_case,נשאר מאחור,תישאר מאחור,"אתה תמצא את עצמך מבצע מסלול נוסף לבד לגמרי אם תישאר מאחור שוב באימון הקרבי, אמר לו המפקד בתקיפות.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,55_lit_1,target_expression,שבר שתיקה,שובר שתיקה,"אם היית שובר שתיקה מוקדם יותר, אולי היינו מצליחים להבין מה בדיוק קרה באותו יום גורלי.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,20_lit_1,target_expression,חתך פינה,חתכו פינה,"אחרי שהם חשבו רבות על מה לעשות כדי שהוא יתאים בדיוק לצורת הקיר, הם חתכו פינה בצד הארון ואז זה הסתדר בול.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,2_lit_1,target_expression,איבד את הראש,מאבד את הראש,"אם החייל הקטן היה עשוי מברזל ולא מפלסטיק זול, הוא לא היה מאבד את הראש בקרב המדומיין, אבל אולי אז היה מאבד משהו אחר – את הדמיון של הילד ששיחק בו.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,2_lit_2,category_PERFECT,איבד את הראש,מאבד את הראש,"אם החייל מפלסטיק לא היה מאבד את הראש בקרב הדמיוני מול מכוניות צעצוע, אולי בני לא היה שואל אותי אם גם חיילים אמיתיים נופלים ככה במלחמה.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
unseen_test,span,dictabert,2_lit_3,category_PERFECT,איבד את הראש,מאבד את הראש,"אם הפסל שבגן הציבורי לא היה מאבד את הראש בזמן הסערה החזקה, אולי העירייה לא הייתה נזכרת לבדוק את תחזוקת הפארק שהוזנחה במשך חודשים ארוכים.","רץ אחרי הזנב של עצמו, נשאר מאחור, חצה קו אדום, שבר שתיקה, חתך פינה, איבד את הראש"
