model,task,split,idiom_id,base_pie,f1_mean,f1_std,precision_mean,recall_mean,num_samples_total,n_seeds
alephbert-base,span,seen_test,14,חותך כמו סכין,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,15,חזר למסלול,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,16,חטף חום,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,17,חטף מכה,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,18,חיבר נקודות,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,21,יצא מהקופסה,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,22,ירד לו האסימון,0.9411764705882352,0.0,0.8888888888888888,1.0,24,3
alephbert-base,span,seen_test,23,ירד מהעץ,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,24,ירד מהפסים,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,25,ירה לכל הכיוונים,0.9583333333333334,0.07216878364870323,0.9583333333333334,0.9583333333333334,24,3
alephbert-base,span,seen_test,26,ירק דם,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,27,לב זהב,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,28,לקח צעד אחורה,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,29,משך בחוטים,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,30,נכנס מתחת לאלונקה,0.9555555555555556,0.03849001794597505,1.0,0.9166666666666666,24,3
alephbert-base,span,seen_test,31,נפל בין הכיסאות,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,32,נפל מהכיסא,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,34,נשבר מבפנים,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,35,נשך שפתיים,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,36,נתן גז,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,37,נתן יד,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,38,סגר חשבון,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,39,עשה סלט,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,40,עשה סצנה,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,41,פתח דלתות,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,42,פתח דף חדש,0.9777777777777779,0.03849001794597503,1.0,0.9583333333333334,24,3
alephbert-base,span,seen_test,43,פתח עיניים,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,44,קבר את עצמו,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,45,קיבל סטירה,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,46,קיפל את הזנב,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,47,קפא במקום,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,48,קפץ למים,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,50,שבר את הכלים,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,51,שבר את הלב,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,52,שבר את הקרח,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,53,שבר את הראש,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,54,שבר את תקרת הזכוכית,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,56,שחרר קיטור,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,57,שיחק באש,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,58,שם עליו פס,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,59,שם רגליים,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,60,שפכה אור,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,unseen_test,2,איבד את הראש,0.9958333333333332,0.007216878364870297,0.9958333333333332,0.9958333333333332,240,3
alephbert-base,span,unseen_test,19,חצה קו אדום,0.6575864995219834,0.2294413637768803,0.6790279753437648,0.6375000000000001,240,3
alephbert-base,span,unseen_test,20,חתך פינה,0.9581236897274633,0.01591108995779868,0.9621308016877638,0.9541666666666666,240,3
alephbert-base,span,unseen_test,33,נשאר מאחור,0.3318208105342764,0.2874322521620816,0.4813363195222098,0.25416666666666665,240,3
alephbert-base,span,unseen_test,49,רץ אחרי הזנב של עצמו,0.0,0.0,0.0,0.0,240,3
alephbert-base,span,unseen_test,55,שבר שתיקה,0.970218187609492,0.04082553265172696,0.97422568767598,0.9666666666666667,240,3
alephbertgimmel-base,cls,seen_test,1,איבד את הצפון,0.873015873015873,0.0,0.9,0.875,24,3
alephbertgimmel-base,cls,seen_test,3,דרך במקום,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbertgimmel-base,cls,seen_test,4,הוריד את הכפפות,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,5,הוריד פרופיל,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbertgimmel-base,cls,seen_test,6,החזיק אצבעות,0.7333333333333334,0.0,0.8333333333333334,0.75,24,3
alephbertgimmel-base,cls,seen_test,7,הייתה בעננים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,8,הלך בין טיפות,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,9,הלך על ביצים,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbertgimmel-base,cls,seen_test,10,הניף דגל לבן,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbertgimmel-base,cls,seen_test,11,הרים את הראש,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbertgimmel-base,cls,seen_test,12,הרים גבה,0.7883597883597884,0.14662863979419066,0.8111111111111112,0.7916666666666666,24,3
alephbertgimmel-base,cls,seen_test,13,הרים ידיים,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbertgimmel-base,cls,seen_test,14,חותך כמו סכין,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,15,חזר למסלול,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbertgimmel-base,cls,seen_test,16,חטף חום,0.8743386243386243,0.1250052489029816,0.8833333333333333,0.875,24,3
alephbertgimmel-base,cls,seen_test,17,חטף מכה,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,18,חיבר נקודות,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbertgimmel-base,cls,seen_test,21,יצא מהקופסה,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,22,ירד לו האסימון,0.873015873015873,0.0,0.9,0.875,24,3
alephbertgimmel-base,cls,seen_test,23,ירד מהעץ,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbertgimmel-base,cls,seen_test,24,ירד מהפסים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,25,ירה לכל הכיוונים,0.77989417989418,0.08064575188680483,0.8555555555555555,0.7916666666666666,24,3
alephbertgimmel-base,cls,seen_test,26,ירק דם,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbertgimmel-base,cls,seen_test,27,לב זהב,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbertgimmel-base,cls,seen_test,28,לקח צעד אחורה,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbertgimmel-base,cls,seen_test,29,משך בחוטים,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbertgimmel-base,cls,seen_test,30,נכנס מתחת לאלונקה,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbertgimmel-base,cls,seen_test,31,נפל בין הכיסאות,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,32,נפל מהכיסא,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,34,נשבר מבפנים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,35,נשך שפתיים,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbertgimmel-base,cls,seen_test,36,נתן גז,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,37,נתן יד,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,38,סגר חשבון,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,39,עשה סלט,0.873015873015873,0.0,0.9,0.875,24,3
alephbertgimmel-base,cls,seen_test,40,עשה סצנה,0.6,0.23094010767585038,0.6388888888888888,0.6666666666666666,24,3
alephbertgimmel-base,cls,seen_test,41,פתח דלתות,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,42,פתח דף חדש,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,43,פתח עיניים,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbertgimmel-base,cls,seen_test,44,קבר את עצמו,0.873015873015873,0.0,0.9,0.875,24,3
alephbertgimmel-base,cls,seen_test,45,קיבל סטירה,0.9111111111111111,0.15396007178390017,0.9444444444444443,0.9166666666666666,24,3
alephbertgimmel-base,cls,seen_test,46,קיפל את הזנב,0.7333333333333334,0.0,0.8333333333333334,0.75,24,3
alephbertgimmel-base,cls,seen_test,47,קפא במקום,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,48,קפץ למים,0.8264550264550264,0.08064575188680485,0.8777777777777778,0.8333333333333334,24,3
alephbertgimmel-base,cls,seen_test,50,שבר את הכלים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,51,שבר את הלב,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbertgimmel-base,cls,seen_test,52,שבר את הקרח,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,53,שבר את הראש,0.873015873015873,0.0,0.9,0.875,24,3
alephbertgimmel-base,cls,seen_test,54,שבר את תקרת הזכוכית,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,56,שחרר קיטור,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,57,שיחק באש,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,58,שם עליו פס,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,59,שם רגליים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,seen_test,60,שפכה אור,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,cls,unseen_test,2,איבד את הראש,0.9540655215988126,0.007258738941791753,0.9580690627202255,0.9541666666666666,240,3
alephbertgimmel-base,cls,unseen_test,19,חצה קו אדום,0.9665791045862763,0.02615491731768394,0.969479932894567,0.9666666666666667,240,3
alephbertgimmel-base,cls,unseen_test,20,חתך פינה,0.8866320264525273,0.0,0.8997421018697614,0.8874999999999998,240,3
alephbertgimmel-base,cls,unseen_test,33,נשאר מאחור,0.8949064102222639,0.02959164572502148,0.9088032284522137,0.8958333333333334,240,3
alephbertgimmel-base,cls,unseen_test,49,רץ אחרי הזנב של עצמו,0.9791438521970406,0.019118822087593922,0.9804355850867479,0.9791666666666666,240,3
alephbertgimmel-base,cls,unseen_test,55,שבר שתיקה,0.7476911674218268,0.03884068757668341,0.8394483476450688,0.7625000000000001,240,3
alephbertgimmel-base,span,seen_test,1,איבד את הצפון,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,3,דרך במקום,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,4,הוריד את הכפפות,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,5,הוריד פרופיל,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,6,החזיק אצבעות,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,7,הייתה בעננים,0.9333333333333332,0.0,1.0,0.875,24,3
alephbertgimmel-base,span,seen_test,8,הלך בין טיפות,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,9,הלך על ביצים,0.9583333333333334,0.07216878364870323,0.9583333333333334,0.9583333333333334,24,3
alephbertgimmel-base,span,seen_test,10,הניף דגל לבן,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,11,הרים את הראש,0.8624727668845317,0.03443347193696292,0.8175925925925926,0.9166666666666666,24,3
alephbertgimmel-base,span,seen_test,12,הרים גבה,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,13,הרים ידיים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,14,חותך כמו סכין,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,15,חזר למסלול,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,16,חטף חום,0.9777777777777779,0.03849001794597505,1.0,0.9583333333333334,24,3
alephbertgimmel-base,span,seen_test,17,חטף מכה,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,18,חיבר נקודות,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,21,יצא מהקופסה,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,22,ירד לו האסימון,0.9411764705882352,0.0,0.8888888888888888,1.0,24,3
alephbertgimmel-base,span,seen_test,23,ירד מהעץ,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,24,ירד מהפסים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,25,ירה לכל הכיוונים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,26,ירק דם,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,27,לב זהב,0.9803921568627452,0.033961780540566214,0.9629629629629629,1.0,24,3
alephbertgimmel-base,span,seen_test,28,לקח צעד אחורה,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,29,משך בחוטים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,30,נכנס מתחת לאלונקה,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,31,נפל בין הכיסאות,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,32,נפל מהכיסא,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,34,נשבר מבפנים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,35,נשך שפתיים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,36,נתן גז,0.9411764705882352,0.0,0.8888888888888888,1.0,24,3
alephbertgimmel-base,span,seen_test,37,נתן יד,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,38,סגר חשבון,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,39,עשה סלט,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,40,עשה סצנה,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,41,פתח דלתות,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,42,פתח דף חדש,0.9777777777777779,0.03849001794597505,1.0,0.9583333333333334,24,3
alephbertgimmel-base,span,seen_test,43,פתח עיניים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,44,קבר את עצמו,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,45,קיבל סטירה,0.9803921568627452,0.033961780540566235,0.9629629629629629,1.0,24,3
alephbertgimmel-base,span,seen_test,46,קיפל את הזנב,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,47,קפא במקום,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,48,קפץ למים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,50,שבר את הכלים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,51,שבר את הלב,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,52,שבר את הקרח,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,53,שבר את הראש,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,54,שבר את תקרת הזכוכית,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,56,שחרר קיטור,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,57,שיחק באש,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,58,שם עליו פס,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,59,שם רגליים,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,seen_test,60,שפכה אור,1.0,0.0,1.0,1.0,24,3
alephbertgimmel-base,span,unseen_test,2,איבד את הראש,0.989463906581741,0.009704343891790349,0.9958333333333332,0.9833333333333334,240,3
alephbertgimmel-base,span,unseen_test,19,חצה קו אדום,0.8946706887883359,0.058036725324925896,0.9247176159577025,0.8666666666666667,240,3
alephbertgimmel-base,span,unseen_test,20,חתך פינה,0.9446894223964288,0.0034888061342506537,0.9652540442014126,0.9250000000000002,240,3
alephbertgimmel-base,span,unseen_test,33,נשאר מאחור,0.742747047783019,0.04662505111763876,0.949575042986981,0.6124999999999999,240,3
alephbertgimmel-base,span,unseen_test,49,רץ אחרי הזנב של עצמו,0.0,0.0,0.0,0.0,240,3
alephbertgimmel-base,span,unseen_test,55,שבר שתיקה,0.9686058700209644,0.035031620616153024,0.9705696202531646,0.9666666666666667,240,3
bert-base-multilingual-cased,cls,seen_test,1,איבד את הצפון,0.873015873015873,0.0,0.9,0.875,24,3
bert-base-multilingual-cased,cls,seen_test,3,דרך במקום,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
bert-base-multilingual-cased,cls,seen_test,4,הוריד את הכפפות,1.0,0.0,1.0,1.0,24,3
bert-base-multilingual-cased,cls,seen_test,5,הוריד פרופיל,0.75,0.0,0.75,0.75,24,3
bert-base-multilingual-cased,cls,seen_test,6,החזיק אצבעות,0.6952380952380953,0.06598288790738581,0.7666666666666666,0.7083333333333334,24,3
bert-base-multilingual-cased,cls,seen_test,7,הייתה בעננים,0.873015873015873,0.0,0.9,0.875,24,3
bert-base-multilingual-cased,cls,seen_test,8,הלך בין טיפות,1.0,0.0,1.0,1.0,24,3
bert-base-multilingual-cased,cls,seen_test,9,הלך על ביצים,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
bert-base-multilingual-cased,cls,seen_test,10,הניף דגל לבן,1.0,0.0,1.0,1.0,24,3
bert-base-multilingual-cased,cls,seen_test,11,הרים את הראש,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
bert-base-multilingual-cased,cls,seen_test,12,הרים גבה,0.873015873015873,0.0,0.9,0.875,24,3
bert-base-multilingual-cased,cls,seen_test,13,הרים ידיים,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
bert-base-multilingual-cased,cls,seen_test,14,חותך כמו סכין,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
bert-base-multilingual-cased,cls,seen_test,15,חזר למסלול,0.873015873015873,0.0,0.9,0.875,24,3
bert-base-multilingual-cased,cls,seen_test,16,חטף חום,0.873015873015873,0.0,0.9,0.875,24,3
bert-base-multilingual-cased,cls,seen_test,17,חטף מכה,1.0,0.0,1.0,1.0,24,3
