id,split,language,source,text,expression,matched_expression,span_start,span_end,token_span_start,token_span_end,num_tokens,label,label_2,iob2_tags,char_mask
10,validation,he,inhouse,הוא שהיה עייף מאוד מרוב עבודה סיזיפית שבר את הראש על דרך יעילה לסיים לכתוב את כל המשפטים האלה לטובת המאמר.,שבר את הראש,שבר את הראש,38,49,7,10,21,פיגורטיבי,1,O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O,0000000000000000000000000000000000000011111111111000000000000000000000000000000000000000000000000000000000
11,train,he,inhouse,הוא שבר את הראש כדי להצליח לבחור שם מקורי לסטארט־אפ.,שבר את הראש,שבר את הראש,4,15,1,4,10,פיגורטיבי,1,O B-IDIOM I-IDIOM I-IDIOM O O O O O O,0000111111111110000000000000000000000000000000000000
12,train,he,inhouse,אשתי המדהימה והמהממת שברה את הראש על תכנון מסלול הטיול ליפן.,שבר את הראש,שברה את הראש,21,33,3,6,11,פיגורטיבי,1,O O O B-IDIOM I-IDIOM I-IDIOM O O O O O,000000000000000000000111111111111000000000000000000000000000
13,train,he,inhouse,"ניסיתי ממש להבין למה המודל לא מתכנס כמו שצריך לתוצאות שציפיתי להם, למרות ששילבתי שכבות נוספות, שברתי את הראש שעות, שיניתי את קצב הלמידה והפעלתי אופטימייזר שונה בניסוי האחרון והצלחתי!",שבר את הראש,שברתי את הראש,95,108,16,19,30,פיגורטיבי,1,O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111100000000000000000000000000000000000000000000000000000000000000000000000000
14,test,he,inhouse,"הם רצו לכתוב הזמנה מקורית לבר מצווה, שתשדר גם יוקרה וגם קלילות, ובסוף אחרי ששברו את הראש בחרו בעיצוב עם הדמיית כדורגל כדי לשלב את אהבתו של הילד לספורט.",שבר את הראש,ששברו את הראש,75,88,14,17,29,פיגורטיבי,1,O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O,0000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000000000000000000000000000000
15,train,he,inhouse,היא שברה את הראש איך להספיק להגיע בזמן גם לעבודה וגם ללימודים,שבר את הראש,שברה את הראש,4,16,1,4,12,פיגורטיבי,1,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O,0000111111111111000000000000000000000000000000000000000000000
16,train,he,inhouse,המנהל שהגיש את התקציב החדש לוועדת המנהלים שבר את הראש עליו רבות.,שבר את הראש,שבר את הראש,42,53,7,10,12,פיגורטיבי,1,O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O,0000000000000000000000000000000000000000001111111111100000000000
17,train,he,inhouse,"איגור אמר ליובל בייאוש שברת את הראש על זה יותר מדי זמן, תנוח כבר!",שבר את הראש,שברת את הראש,23,35,4,7,14,פיגורטיבי,1,O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O,00000000000000000000000111111111111000000000000000000000000000000
18,validation,he,inhouse,האם גם אתה שברת את הראש על השאלה הזאת במבחן גמר?,שבר את הראש,שברת את הראש,11,23,3,6,11,פיגורטיבי,1,O O O B-IDIOM I-IDIOM I-IDIOM O O O O O,000000000001111111111110000000000000000000000000
19,train,he,inhouse,הוא יום-יום שובר את הראש כדי למצוא לקוחות חדשים.,שבר את הראש,שובר את הראש,12,24,2,5,9,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O,000000000000111111111111000000000000000000000000
20,validation,he,inhouse,"מה שאנשים אחרים חושבים עלייך בעבודה לא חשוב, אל תשברי את הראש על זה",שבר את הראש,תשברי את הראש,48,61,9,12,14,פיגורטיבי,1,O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O,0000000000000000000000000000000000000000000000001111111111111000000
21,train,he,inhouse,המורה שבר את הראש להסביר שוב ושוב את הנוסחה המורכבת,שבר את הראש,שבר את הראש,6,17,1,4,10,פיגורטיבי,1,O B-IDIOM I-IDIOM I-IDIOM O O O O O O,000000111111111110000000000000000000000000000000000
22,validation,he,inhouse,וועדת הקישוט וועדת התקציבים שברו את הראש בתכנון האירוע הגדול לחברה,שבר את הראש,שברו את הראש,28,40,4,7,11,פיגורטיבי,1,O O O O B-IDIOM I-IDIOM I-IDIOM O O O O,000000000000000000000000000011111111111100000000000000000000000000
23,train,he,inhouse,הזקנה שלא יודעת להפעיל מחשב תשבור את הראש עד שתבין למה המחשב לא נדלק לה,שבר את הראש,תשבור את הראש,28,41,5,8,15,פיגורטיבי,1,O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O,00000000000000000000000000001111111111111000000000000000000000000000000
24,train,he,inhouse,כדי לקבל ציון גבוה אני שברתי את הראש למצוא דרך פואטית לסיים את השיר,שבר את הראש,שברתי את הראש,23,36,5,8,14,פיגורטיבי,1,O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O,0000000000000000000000011111111111110000000000000000000000000000000
25,train,he,inhouse,"בזמן שהכותרות מתחלפות בקצב מסחרר וההחלטות הכלכליות משפיעות ישירות על חיינו היומיומיים, אנחנו שוברים את הראש כדי להבין את הפוליטיקה המוזרה במדינה.",שבר את הראש,שוברים את הראש,93,107,13,16,22,פיגורטיבי,1,O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111100000000000000000000000000000000000000
26,train,he,inhouse,עד שימצא פתרון הולם הוא ישבור את הראש לפתרון הבעיות בפרויקט,שבר את הראש,ישבור את הראש,24,37,5,8,11,פיגורטיבי,1,O O O O O B-IDIOM I-IDIOM I-IDIOM O O O,00000000000000000000000011111111111110000000000000000000000
27,train,he,inhouse,"איך נצליח לשלב את כל הרעיונות במצגת אחת קצרה, ״תשברי את הראש״ אמרה לה החברה לקבוצה.",שבר את הראש,תשברי את הראש,47,60,9,12,16,פיגורטיבי,1,O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O,00000000000000000000000000000000000000000000000111111111111100000000000000000000000
28,test,he,inhouse,שברתי את הראש בניסיון לפענח את הסוד מאחורי החיוך המיוחד שלה,שבר את הראש,שברתי את הראש,0,13,0,3,11,פיגורטיבי,1,B-IDIOM I-IDIOM I-IDIOM O O O O O O O O,11111111111110000000000000000000000000000000000000000000000
29,train,he,inhouse,"הזוג הנשוי שברו את הראש לנסח חוזה משפטי מדויק וברור להסכם ממון ביניהם לפי החתונה, אך כל עורך דין שהציעו להם הציב תנאים וחוקים אחרים שהפכו הכול למורכב יותר ושונה ממה שרצו.",שבר את הראש,שברו את הראש,11,23,2,5,32,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O,00000000000111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
30,train,he,inhouse,"כדי להבין את ההתנהגות המוזרה של הכלב החדש שלה, היא שברה את הראש זמן רב עד שסוף סוף הצליחה לפצח את זה.",שבר את הראש,שברה את הראש,51,63,10,13,22,פיגורטיבי,1,O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O,00000000000000000000000000000000000000000000000000011111111111100000000000000000000000000000000000000
31,train,he,inhouse,אחרי שעבדתי כל השנה אני עדיין שוברת את הראש איך לחסוך כסף לחופשה הקרובה,שבר את הראש,שוברת את הראש,30,43,6,9,14,פיגורטיבי,1,O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O,00000000000000000000000000000011111111111110000000000000000000000000000
32,train,he,inhouse,"כששכח את יום השנה שלהם הוא שבר את הראש למצוא תירוץ טוב לאחר לארוחה, ובסוף המציא סיפור מופרך על פגישה עסקית דחופה עם משקיעים מחו""ל.",שבר את הראש,שבר את הראש,27,38,6,9,25,פיגורטיבי,1,O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O,0000000000000000000000000001111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
33,train,he,inhouse,"איך להחזיר את החיוך לילד העצוב, הם שברו את הראש כל הלילה לאחר האירוע שמבאס שאירע לו.",שבר את הראש,שברו את הראש,35,47,7,10,17,פיגורטיבי,1,O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O,000000000000000000000000000000000001111111111110000000000000000000000000000000000000
34,train,he,inhouse,האם המהנדסים שברו את הראש מספיק לפני שהציגו את הפתרון?,שבר את הראש,שברו את הראש,13,25,2,5,10,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O,000000000000011111111111100000000000000000000000000000
35,train,he,inhouse,"עד שאבין את התוכנה המסובכת הזאת, אני אשבור את הראש ויהי מה.",שבר את הראש,אשבור את הראש,37,50,7,10,12,פיגורטיבי,1,O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O,00000000000000000000000000000000000001111111111111000000000
36,train,he,inhouse,"במיוחד כשהמנחה משנה את הדרישות מדי שבוע והתקציב הולך ואוזל בצורה מדאיגה, הם שוברים את הראש על כל פרט קטן בפרויקט גמר כדי לעמוד בכל האילוצים.",שבר את הראש,שוברים את הראש,76,90,13,16,26,פיגורטיבי,1,O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,00000000000000000000000000000000000000000000000000000000000000000000000000001111111111111100000000000000000000000000000000000000000000000000
37,train,he,inhouse,הוא שבר את הראש כדי לבחור טבעת נישואים מושלמת,שבר את הראש,שבר את הראש,4,15,1,4,9,פיגורטיבי,1,O B-IDIOM I-IDIOM I-IDIOM O O O O O,000011111111111000000000000000000000000000000
38,test,he,inhouse,"להודות לצוות או לשלב סיפור אישי קצר, היא ממש שוברת את הראש מה לומר בנאום החשוב שלה שירגש את הקהל באירוע העסקי הגדול.",שבר את הראש,שוברת את הראש,45,58,9,12,23,פיגורטיבי,1,O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O,00000000000000000000000000000000000000000000011111111111110000000000000000000000000000000000000000000000000000000000
39,train,he,inhouse,כדי להצליח להגדיל את סיכויי ההצלחה אנחנו נשבור את הראש עד שנמצא אסטרטגיה מתאימה למכרז שאנחנו רוצים לפרסם,שבר את הראש,נשבור את הראש,41,54,7,10,18,פיגורטיבי,1,O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O,00000000000000000000000000000000000000000111111111111100000000000000000000000000000000000000000000000000
40,train,he,inhouse,"הילד שבר את הראש כשהתגלגל מהמיטה החדשה בסלון, ונלקח לבדיקה בבית החולים הקרוב שם גילו רק חבלה קלה.",שבר את הראש,שבר את הראש,5,16,1,4,18,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O,0000011111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000
41,train,he,inhouse,היא שברה את הראש כשנתקלה באבן גדולה בשביל הגינה,שבר את הראש,שברה את הראש,4,16,1,4,9,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O,00001111111111110000000000000000000000000000000
42,train,he,inhouse,"האם שמעת שהשחקן שבר את הראש באמצע ההצגה לאחר שנפל מהבמה, והקהל ההמום לא הבין אם זו הייתה תאונה או חלק מהעלילה?",שבר את הראש,שבר את הראש,16,27,3,6,22,מילולי,0,O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O,00000000000000001111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000
43,train,he,inhouse,"לאחר שבני הילד השובב רץ מהר מידי והתרסק במסדרון של הבית ספר, הוא שבר את הראש.",שבר את הראש,שבר את הראש,65,76,13,16,16,מילולי,0,O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM,00000000000000000000000000000000000000000000000000000000000000000111111111110
44,train,he,inhouse,"האופנוען שבר את הראש כי לא חבש קסדה בזמן הנסיעה, ולמרות אזהרות שקיבל מהמשטרה שעצרה אותם קודם לכן, עדיין התעלם מהחוקים.",שבר את הראש,שבר את הראש,9,20,1,4,21,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,0000000001111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
45,train,he,inhouse,"תזהר, אם תמשיך להשתולל ככה אתה תשבור את הראש על הרצפה",שבר את הראש,תשבור את הראש,31,44,6,9,11,מילולי,0,O O O O O O B-IDIOM I-IDIOM I-IDIOM O O,00000000000000000000000000000001111111111111000000000
46,train,he,inhouse,"האישה המבוגרת שברה את הראש כשפספסה מדרגה במדרגות, אך למרבה המזל השכנים הזעיקו מיד אמבולנס.",שבר את הראש,שברה את הראש,14,26,2,5,15,מילולי,0,O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,000000000000001111111111110000000000000000000000000000000000000000000000000000000000000000
47,test,he,inhouse,כל הבנים שנסעו ברכב ההסעות שברו את הראש בתאונה הקשה על כביש החוף,שבר את הראש,שברו את הראש,27,39,5,8,13,מילולי,0,O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O,0000000000000000000000000001111111111110000000000000000000000000
48,train,he,inhouse,"כשהכדור פגע בו ישירות במצח במהלך משחק ליגה אזורי הוא שבר את הראש, והקבוצה נאלצה להפסיק את המשחק באמצע.",שבר את הראש,שבר את הראש,53,64,10,13,19,מילולי,0,O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O,000000000000000000000000000000000000000000000000000001111111111100000000000000000000000000000000000000
49,train,he,inhouse,האם הילד שבר את הראש או רק נחבל קלות?,שבר את הראש,שבר את הראש,9,20,2,5,9,מילולי,0,O O B-IDIOM I-IDIOM I-IDIOM O O O O,0000000001111111111100000000000000000
50,validation,he,inhouse,הנערה שנחבלה בתחרות שברה את הראש בקפיצה לא נכונה לבריכה,שבר את הראש,שברה את הראש,20,32,3,6,10,מילולי,0,O O O B-IDIOM I-IDIOM I-IDIOM O O O O,0000000000000000000011111111111100000000000000000000000
51,train,he,inhouse,הילד שוב שבר את הראש תוך כדי משחק פראי עם אחיו,שבר את הראש,שבר את הראש,9,20,2,5,11,מילולי,0,O O B-IDIOM I-IDIOM I-IDIOM O O O O O O,0000000001111111111100000000000000000000000000
52,train,he,inhouse,"האם אתה מתכוון לשבור את הראש אם תקפוץ מהגג הזה, למרות שכל השכנים מזהירים אותך שוב ושוב לא לעשות זאת?",שבר את הראש,לשבור את הראש,15,28,3,6,20,מילולי,0,O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O,0000000000000001111111111111000000000000000000000000000000000000000000000000000000000000000000000000
53,train,he,inhouse,"הוא שבר את הראש כשהחליק על קרח דק ברחוב החשוך, והעוברים ושבים מיהרו להזעיק עזרה רפואית.",שבר את הראש,שבר את הראש,4,15,1,4,16,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O,000011111111111000000000000000000000000000000000000000000000000000000000000000000000000
54,test,he,inhouse,הנער שבר את הראש בריצה אל תוך דלת זכוכית סגורה,שבר את הראש,שבר את הראש,5,16,1,4,10,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O O,0000011111111111000000000000000000000000000000
55,train,he,inhouse,"היא שברה את הראש כשנפלה מהקורקינט החשמלי החדש שלה, ואמרה שהייתה בטוחה שהכביש ריק בזמן שנסעה במהירות גבוהה.",שבר את הראש,שברה את הראש,4,16,1,4,18,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O,0000111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
56,train,he,inhouse,שני השחקנים החדשים שברו את הראש במהלך אימון כדורגל סוער במגרש,שבר את הראש,שברו את הראש,19,31,3,6,11,מילולי,0,O O O B-IDIOM I-IDIOM I-IDIOM O O O O O,0000000000000000000111111111111000000000000000000000000000000
57,train,he,inhouse,אחרי שנפל במפעל תוך כדי עבודתו במשמרת לילה ארוכה הוא שבר את הראש ונזקק לטיפול מיידי בחדר ניתוח.,שבר את הראש,שבר את הראש,53,64,10,13,18,מילולי,0,O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O,00000000000000000000000000000000000000000000000000000111111111110000000000000000000000000000000
58,validation,he,inhouse,"לאחר שהילדה נפלה תוך כדי משחק מחבואים, היא שברה את הראש.",שבר את הראש,שברה את הראש,43,55,8,11,11,מילולי,0,O O O O O O O O B-IDIOM I-IDIOM I-IDIOM,00000000000000000000000000000000000000000001111111111110
59,train,he,inhouse,השכן שבר את הראש כי נפל לאחר שלא הבחין בשקע עמוק במדרכה באמצע ההליכה,שבר את הראש,שבר את הראש,5,16,1,4,14,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,00000111111111110000000000000000000000000000000000000000000000000000
60,validation,he,inhouse,הילד הקטן על הנדנדה ישבור את הראש אם לא תעצרי אותו בזמן,שבר את הראש,ישבור את הראש,20,33,4,7,12,מילולי,0,O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O,0000000000000000000011111111111110000000000000000000000
61,train,he,inhouse,"הוא שבר את הראש כשקפץ מהסולם בלי לשים לב לקרקע, וניצל רק בזכות תגובה מהירה של אביו שעמד לידו.",שבר את הראש,שבר את הראש,4,15,1,4,19,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O,000011111111111000000000000000000000000000000000000000000000000000000000000000000000000000000
62,validation,he,inhouse,משה שבר את הראש כשרכב על אופניים בלילה בלי אורות,שבר את הראש,שבר את הראש,4,15,1,4,10,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O O,000011111111111000000000000000000000000000000000
63,train,he,inhouse,למרות שהזהרתי אותה לא לרוץ במדרגות היא שברה את הראש,שבר את הראש,שברה את הראש,39,51,7,10,10,מילולי,0,O O O O O O O B-IDIOM I-IDIOM I-IDIOM,000000000000000000000000000000000000000111111111111
64,train,he,inhouse,הוא שוב שבר את הראש אחרי שניסה לעשות סלטה בחצר,שבר את הראש,שבר את הראש,8,19,2,5,10,מילולי,0,O O B-IDIOM I-IDIOM I-IDIOM O O O O O,0000000011111111111000000000000000000000000000
65,train,he,inhouse,הילד שבר את הראש כשהתנגש בעמוד בפארק.,שבר את הראש,שבר את הראש,5,16,1,4,7,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O,0000011111111111000000000000000000000
66,train,he,inhouse,הפועל שנפל מהפיגום בבנייה שבר את הראש.,שבר את הראש,שבר את הראש,26,37,4,7,7,מילולי,0,O O O O B-IDIOM I-IDIOM I-IDIOM,00000000000000000000000000111111111110
67,train,he,inhouse,"כשהסערה הפתאומית הפילה את כל הדחלילים במושב, איש הקש הכי מפורסם ויפה שלי שבר את הראש שלו מהנפילה הזאת.",שבר את הראש,שבר את הראש,73,84,13,16,19,מילולי,0,O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O,000000000000000000000000000000000000000000000000000000000000000000000000011111111111000000000000000000
68,test,he,inhouse,הוא החליק על הקרח ברחוב ושבר את הראש באבן.,שבר את הראש,ושבר את הראש,24,36,5,8,9,מילולי,0,O O O O O B-IDIOM I-IDIOM I-IDIOM O,000000000000000000000000111111111111000000
69,train,he,inhouse,"במהלך הסקי בהרי האלפים, הגולש שבר את הראש ונלקח במסוק.",שבר את הראש,שבר את הראש,30,41,5,8,10,מילולי,0,O O O O O B-IDIOM I-IDIOM I-IDIOM O O,000000000000000000000000000000111111111110000000000000
70,train,he,inhouse,הילד נפל מסולם גבוה ושבר את הראש בצורה חמורה.,שבר את הראש,ושבר את הראש,20,32,4,7,9,מילולי,0,O O O O B-IDIOM I-IDIOM I-IDIOM O O,000000000000000000001111111111110000000000000
71,train,he,inhouse,"הוא שבר את הראש כשהחליק על הרצפה הרטובה במטבח, בזמן שניסה להרים סיר כבד שגם החליק לו מהידיים בגלל זה.",שבר את הראש,שבר את הראש,4,15,1,4,20,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O,00001111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
72,train,he,inhouse,האופנוען התנגש בקיר ושבר את הראש באורח קשה.,שבר את הראש,ושבר את הראש,20,32,3,6,8,מילולי,0,O O O B-IDIOM I-IDIOM I-IDIOM O O,0000000000000000000011111111111100000000000
73,train,he,inhouse,היא שברה את הראש אחרי נפילה לא צפויה במדרגות.,שבר את הראש,שברה את הראש,4,16,1,4,9,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O,000011111111111100000000000000000000000000000
74,train,he,inhouse,הילד הקטן שבר את הראש בזמן משחק בגינה הציבורית אחרי נפילה מהמגלשה.,שבר את הראש,שבר את הראש,10,21,2,5,12,מילולי,0,O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O,000000000011111111111000000000000000000000000000000000000000000000
75,train,he,inhouse,"הרופא אמר שהפגיעה חזקה, החולה ממש שבר את הראש באמצע, אך הניתוח עבר בהצלחה.",שבר את הראש,שבר את הראש,34,45,6,9,14,מילולי,0,O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O,00000000000000000000000000000000001111111111100000000000000000000000000000
76,train,he,inhouse,היא נפלה לתוך שוחה פתוחה במהלך רכיבת אופניים ושברה את הראש על הבטון.,שבר את הראש,ושברה את הראש,45,58,8,11,13,מילולי,0,O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O,00000000000000000000000000000000000000000000011111111111110000000000
77,train,he,inhouse,"הבחור קיבל מכה מהכדור בזמן משחק כדורגל והיה נראה שממש שבר את הראש, אך לאחר צילום נמצא שמדובר רק בזעזוע מוח קל.",שבר את הראש,שבר את הראש,54,65,10,13,22,מילולי,0,O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O,00000000000000000000000000000000000000000000000000000011111111111000000000000000000000000000000000000000000000
78,test,he,inhouse,הוא שבר את הראש לאחר התנגשות חזיתית בתאונה בין 2 אופנוע למכונית.,שבר את הראש,שבר את הראש,4,15,1,4,12,מילולי,0,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O,0000111111111110000000000000000000000000000000000000000000000000
79,train,he,inhouse,בזמן שהתנדנד הנדנדה יצאה ממקומהת הילד שבר את הראשת וההורים הזועמים דרשו מהעירייה לבדוק את בטיחות כל המתקנים בגינה.,שבר את הראש,שבר את הראש,38,49,6,9,19,מילולי,0,O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,000000000000000000000000000000000000001111111111100000000000000000000000000000000000000000000000000000000000000000
80,train,he,inhouse,קצין המודיעין האוגדתי שיחק באש כששיתף מידע מסווג בלי רשות.,שיחק באש,שיחק באש,22,30,3,5,10,פיגורטיבי,1,O O O B-IDIOM I-IDIOM O O O O O,0000000000000000000000111111110000000000000000000000000000
81,train,he,inhouse,"כשחזרה לדבר עם האקס שלה מהעבר הרחוק היא שיחקה באש, היא ובעלה בתקופה לא טובה בזוגיות שלהם וזה עלול להשפיע עליה.",שיחק באש,שיחקה באש,40,49,8,10,21,פיגורטיבי,1,O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O,00000000000000000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000000000
