model,split,id,error_category,base_pie,pie_span,sentence,analysis,category
bert-base-multilingual-cased,seen_test,11_fig_33,MULTI_SPAN,הרים את הראש,הרימה את הראש,"היא לא הורידה את הראש גם כשהביקורת הייתה קשה וחדה, אלא הרימה את הראש בגאווה והוכיחה שכלכלית ונפשית היא מסוגלת לנצח בשוק תחרותי שבו רבים נעלמים.",morphology,הרים את הראש
bert-base-multilingual-cased,seen_test,12_lit_29,PERFECT,הרים גבה,להרים גבה,"הרופא ביקש ממנו להרים גבה במהלך הבדיקה כדי לבדוק את עצב הפנים, והוא תהה אם זו בדיקה רפואית רצינית או סצנה ממחזמר רפואי סוריאליסטי.",morphology,הרים גבה
bert-base-multilingual-cased,seen_test,12_lit_37,PERFECT,הרים גבה,הרימה גבה,תוך כדי הרכבת משקפיים ריקי הרימה גבה כי ככה היא רגילה.,morphology,הרים גבה
bert-base-multilingual-cased,seen_test,13_fig_18,PERFECT,הרים ידיים,מרים ידיים,"האם אתה היית מרים ידיים אם היית מגלה שהחברה המתחרה עקפה אותך טכנולוגית, או שהיית מחפש דרך יצירתית להמציא את עצמך מחדש?",morphology,הרים ידיים
bert-base-multilingual-cased,seen_test,13_fig_31,PERFECT,הרים ידיים,הרימה ידיים,"המורה הרימה ידיים מהכיתה הרועשת, הפסיקה לנסות ללמד ויצאה מהכיתה.",morphology,הרים ידיים
bert-base-multilingual-cased,seen_test,14_lit_1,PERFECT,חותך כמו סכין,חותכת כמו סכין,"אל תתקרב למכונת הלייזר החדשה אם אינך מאומן לכך, היא חותכת כמו סכין, ובמקרה של טעות קטנה – גם כפפה עבה לא תציל אותך מפציעה רצינית.",morphology,חותך כמו סכין
bert-base-multilingual-cased,seen_test,14_lit_34,PERFECT,חותך כמו סכין,חותכת כמו סכין,הקרן האולטרה סגולה חותכת כמו סכין דרך המתכת הדקה.,morphology,חותך כמו סכין
bert-base-multilingual-cased,seen_test,15_lit_28,PERFECT,חזר למסלול,חזרה למסלול,היא חזרה למסלול הטיול היומי אחרי שסטתה לנחל סמוך.,morphology,חזר למסלול
bert-base-multilingual-cased,seen_test,15_fig_3,PERFECT,חזר למסלול,חזרה למסלול,"אחרי שהתפטרה מעבודה רעילה ואמרה שחופש אמיתי הוא לא רק לעזוב – אלא גם לדעת מתי לחזור עם ביטחון עצמי חדש, היא ישר חזרה למסלול מקצועי משל עצמה.",morphology,חזר למסלול
bert-base-multilingual-cased,seen_test,16_lit_4,PERFECT,חטף חום,חטפו חום,"אחרי שעמדו שעות בתור בשדה התעופה בלי מזגן והעובדים במקום טענו שאם משרד הבריאות לא יבדוק את התנאים, זה רק יחמיר בקיץ, אך למרות התלונה הם עדיין חטפו חום.",morphology,חטף חום
bert-base-multilingual-cased,seen_test,16_lit_6,PERFECT,חטף חום,יחטפו חום,"אם העובדים ימשיכו לעבוד ללא מיזוג, כמה זמן יעבור עד שכולם יחטפו חום? שאל העיתונאי בכתבה שחשפה את תנאי העבודה הקשים במפעל הישן בדרום.",morphology,חטף חום
bert-base-multilingual-cased,seen_test,17_lit_30,PERFECT,חטף מכה,לחטוף מכה,הכלב קפץ עליה מרוב התלהבות וגרם לה לחטוף מכה בצלעות.,morphology,חטף מכה
bert-base-multilingual-cased,seen_test,17_lit_35,PERFECT,חטף מכה,חטפו מכה,"כשנפלו מהאופניים, הם חטפו מכה קלה בברכיים ושפשוף בידיים.",morphology,חטף מכה
bert-base-multilingual-cased,seen_test,18_lit_11,PERFECT,חיבר נקודות,שחיבר נקודות,הוא יצר דמות של דרקון לאחר שחיבר נקודות בשקט בשקט.,morphology,חיבר נקודות
bert-base-multilingual-cased,seen_test,18_lit_20,PERFECT,חיבר נקודות,חיברה נקודות,"היא חיברה נקודות שהקבצוצה השיגה במספר תחרויות שונות בתחרות הארצית, ושאלו את עצמם האם יש להם סיכוי לנצח את זה הפעם?",morphology,חיבר נקודות
bert-base-multilingual-cased,seen_test,21_lit_29,PERFECT,יצא מהקופסה,שיצאה מהקופסה,המנורה האירה את החדר לאחר שיצאה מהקופסה ואוטומטית האירה את כל החדר.,morphology,יצא מהקופסה
bert-base-multilingual-cased,seen_test,21_fig_6,PERFECT,יצא מהקופסה,תצא מהקופסה,"אם אתה באמת רוצה להשפיע, אל תשאר צופה מהצד – תצא מהקופסה, תאתגר את עצמך, ותזכור שהעולם שייך לאלה שמפסיקים לפחד מטעות.",morphology,יצא מהקופסה
bert-base-multilingual-cased,seen_test,22_lit_15,PERFECT,ירד לו האסימון,שירד לה האסימון,"היא ניסתה שוב ושוב, עד שירד לה האסימון בטלפון הציבורי הישן, ואז חייכה חיוך נוסטלגי – “מדהים איך פעם כל שיחה התחילה בצליל מתכתי קטן כזה”.",morphology,ירד לו האסימון
bert-base-multilingual-cased,seen_test,22_fig_12,PERFECT,ירד לו האסימון,וירד לו האסימון,"הוא הביט במסך הניתוח שפרס הרופא לפניו, וירד לו האסימון כמה מזל היה לו שהגיע לבדיקה בזמן – לפעמים חיים שלמים תלויים ברגע אחד של הקשבה לעצמך.",morphology,ירד לו האסימון
bert-base-multilingual-cased,seen_test,22_lit_12,WRONG_SPAN,ירד לו האסימון,שירד לו האסימון,הוא התכופף והרים את האסימון אחרי שירד לו האסימון לרצפה,morphology,ירד לו האסימון
bert-base-multilingual-cased,seen_test,23_lit_5,PERFECT,ירד מהעץ,ירדה מהעץ,"אתמול היא ירדה מהעץ והחזיקה שלושה תפוחים בידה, ואמרה לאמא שלה שהטעם שלהם מזכיר לה ילדות – אולי הפירות הכי טעימים גדלים בצמרות.",morphology,ירד מהעץ
bert-base-multilingual-cased,seen_test,23_lit_28,PERFECT,ירד מהעץ,ירדו מהעץ,הם ירדו מהעץ ברגע שנשמעה אזעקה,morphology,ירד מהעץ
bert-base-multilingual-cased,seen_test,24_lit_17,PERFECT,ירד מהפסים,ירדה מהפסים,המסילה נשברה והרכבת ירדה מהפסים מייד.,morphology,ירד מהפסים
bert-base-multilingual-cased,seen_test,24_lit_23,PERFECT,ירד מהפסים,ירדה מהפסים,"העגלה במחסן ירדה מהפסים שלה באמצע ההובלה, וכל הסחורה היקרה נשפכה על הרצפה – זה מה שקורה כשמזלזלים בתחזוקה ומחכים לרגע האחרון לתקן.",morphology,ירד מהפסים
bert-base-multilingual-cased,seen_test,25_lit_20,PERFECT,ירה לכל הכיוונים,ירתה לכל הכיוונים,היא ירתה לכל הכיוונים במשחק פיינטבול.,morphology,ירה לכל הכיוונים
bert-base-multilingual-cased,seen_test,25_lit_27,PERFECT,ירה לכל הכיוונים,ירו לכל הכיוונים,הם ירו לכל הכיוונים בזיקוקים באירוע וזה יצא מכלל שליטה.,morphology,ירה לכל הכיוונים
bert-base-multilingual-cased,seen_test,26_lit_1,PERFECT,ירק דם,ירקה דם,"אחרי טיפול שיניים כואב במיוחד, היא ירקה דם ונבהלה מאוד מהכמויות שיוצאות.",morphology,ירק דם
bert-base-multilingual-cased,seen_test,26_lit_7,PERFECT,ירק דם,יורק דם,"אם הכלב ההוא לא היה יורק דם אחרי המריבה, הבעלים אפילו לא היו יודעים שהוא נפצע מבפנים; כמה פעמים אנחנו מתעלמים ממי שסובל עד שהוא קורס?",morphology,ירק דם
bert-base-multilingual-cased,seen_test,27_lit_3,PERFECT,לב זהב,מלב זהב,"אם הפסל לא היה עשוי ממתכת טהורה, אלא מלב זהב אמיתי, ייתכן שהמוזיאון היה צריך לשכור שמירה צמודה; כך או כך, הוא כבר הפך לסמל של עוצמה ואנושיות גם יחד.",morphology,לב זהב
bert-base-multilingual-cased,seen_test,27_fig_17,PERFECT,לב זהב,שלב זהב,הוא תמיד אומר שלב זהב מנצח כל קושי פוליטי,morphology,לב זהב
bert-base-multilingual-cased,seen_test,28_lit_39,PERFECT,לקח צעד אחורה,לקחתי צעד אחורה,עמדתי קרוב מדי לחלון ופחדתי להיפגע אז לקחתי צעד אחורה ממנו.,morphology,לקח צעד אחורה
bert-base-multilingual-cased,seen_test,28_fig_12,PERFECT,לקח צעד אחורה,לקחה צעד אחורה,החיילת לקחה צעד אחורה מהמשימה הקשה כדי לאסוף כוחות,morphology,לקח צעד אחורה
bert-base-multilingual-cased,seen_test,29_lit_4,PERFECT,משך בחוטים,מושך בחוטים,"אם הוא לא היה מושך בחוטים של המכונית הקטנה בצורה מדוייקת, היא לא הייתה נוסעת ישר אלא נתקעת, אבל מי בכלל צריך שלמות כשיש צחוק אמיתי באמצע המשחק?",morphology,משך בחוטים
bert-base-multilingual-cased,seen_test,29_lit_29,PERFECT,משך בחוטים,ומשך בחוטים,הכלב קפץ על הספה ומשך בחוטים שבלטו מהכרית עד שהתפרקה.,morphology,משך בחוטים
bert-base-multilingual-cased,seen_test,30_lit_17,PERFECT,נכנס מתחת לאלונקה,נכנסה מתחת לאלונקה,היא נכנסה מתחת לאלונקה בשקט מוחלט למרות המשקל העצום שהיה על כתפיה.,morphology,נכנס מתחת לאלונקה
bert-base-multilingual-cased,seen_test,30_lit_24,PERFECT,נכנס מתחת לאלונקה,נכנסה מתחת לאלונקה,"היא שמעה את הפקודה בקול רם וברור, וכשהפקודה נשמעה היא נכנסה מתחת לאלונקה בלי לחשוב פעמיים – הרי בחיים, כמו באימון, מי שמחכה לאות מושלם עלול לאחר את הרגע.",morphology,נכנס מתחת לאלונקה
bert-base-multilingual-cased,seen_test,31_fig_7,PERFECT,נפל בין הכיסאות,נפלו בין הכיסאות,"דו""ח פנימי חשף שמאות תלונות של אזרחים נפלו בין הכיסאות במחלקת הפניות הממשלתית, כי המערכת האוטומטית לא סיווגה אותן נכון – ואף אחד לא הבחין בזה חודשים שלמים.",morphology,נפל בין הכיסאות
bert-base-multilingual-cased,seen_test,31_fig_21,PERFECT,נפל בין הכיסאות,נפלה בין הכיסאות,"המאמן טען שהקבוצה שלו נפלה בין הכיסאות כשהאיגוד לא סיפק להם מגרש אימונים, למרות שהובטח תקציב ייעודי – ועכשיו השחקנים מתאמנים בחניון ישן מאחורי האצטדיון.",morphology,נפל בין הכיסאות
bert-base-multilingual-cased,seen_test,32_lit_19,PERFECT,נפל מהכיסא,ונפלה מהכיסא,החתול קפץ על הילדה היא נבהלה ונפלה מהכיסא,morphology,נפל מהכיסא
bert-base-multilingual-cased,seen_test,32_lit_22,PERFECT,נפל מהכיסא,ונפלה מהכיסא,היא נבהלה מצלצול הטלפון ונפלה מהכיסא בסלון,morphology,נפל מהכיסא
bert-base-multilingual-cased,seen_test,34_lit_18,PERFECT,נשבר מבפנים,נשברה מבפנים,"המכונה נשברה מבפנים באמצע משמרת במפעל, והייצור נעצר לחלוטין – אף אחד לא חשב לבדוק אותה בזמן כי “היא תמיד עובדת מצוין”.",morphology,נשבר מבפנים
bert-base-multilingual-cased,seen_test,34_lit_22,PERFECT,נשבר מבפנים,נשברה מבפנים,הנורה נשברה מבפנים למרות שלא נשמע קול פיצוץ.,morphology,נשבר מבפנים
bert-base-multilingual-cased,seen_test,35_lit_8,PERFECT,נשך שפתיים,נשכה שפתיים,"בזמן שחיקתה לרופא השיניים, היא נשכה שפתיים מרוב פחד.",morphology,נשך שפתיים
bert-base-multilingual-cased,seen_test,35_lit_22,PERFECT,נשך שפתיים,שנשכה שפתיים,היא גרמה לה שריטה בתוך הפה לאחר שנשכה שפתיים בחוזקה כחלק מהרגל ישן מטופש.,morphology,נשך שפתיים
bert-base-multilingual-cased,seen_test,36_lit_16,PERFECT,נתן גז,נתנה גז,היא נתנה גז והכינה סיבוב חד עם הקורקינט,morphology,נתן גז
bert-base-multilingual-cased,seen_test,36_lit_39,PERFECT,נתן גז,נתנו גז,"לפני שהיא טסה ורקדה על המים, הם נתנו גז על הסירה עם המנוע החדשני שהם רק קנו.",morphology,נתן גז
bert-base-multilingual-cased,seen_test,37_lit_8,PERFECT,נתן יד,נתנה יד,"בדרך לגן המשחקים, האמא נתנה יד לילדה הקטנה.",morphology,נתן יד
bert-base-multilingual-cased,seen_test,37_lit_34,PERFECT,נתן יד,נתנו יד,"כדי לעזור לו לקום, הם נתנו יד לחבר שנפל במשחק הכדורגל.",morphology,נתן יד
bert-base-multilingual-cased,seen_test,38_lit_9,PERFECT,סגר חשבון,סוגר את החשבון,"אם האב לא היה סוגר את החשבון של בנו הקטן בזמן, הריבית שהצטברה הייתה אוכלת את החיסכון, וכך למדו השניים שיעור חשוב באחריות כלכלית משפחתית.",morphology,סגר חשבון
bert-base-multilingual-cased,seen_test,38_lit_10,PERFECT,סגר חשבון,לסגור את החשבון,"אם האבא לא היה יוזם פגישה עם הנהלת הבנק כדי לסגור את החשבון ולפתוח חיסכון ייעודי לילד, הם לא היו מצליחים לממן לו את טיול החלומות לאירופה בקיץ לבר מצווה.",morphology,סגר חשבון
bert-base-multilingual-cased,seen_test,39_lit_2,PERFECT,עשה סלט,עושים סלט,"אם הם לא היו עושים סלט ירקות מאודים עם ברוקולי וגזר, אולי היו נכנעים לפיצה שוב; אבל באותו ערב, כשהגישו את הסלט, אפילו הילד הקטן ביקש תוספת – נס תזונתי אמיתי.",morphology,עשה סלט
bert-base-multilingual-cased,seen_test,39_lit_19,PERFECT,עשה סלט,שעשתה סלט,"היא כתבה פוסט שלם באינסטגרם: ״זה לא רק אוכל, זה מצב רוח ואופי״ לאחר שעשתה סלט פסטה קר עם ירקות צבעוניים וקיבלה מאות לייקים תוך שעה.",morphology,עשה סלט
bert-base-multilingual-cased,seen_test,40_lit_5,PERFECT,עשה סצנה,עשתה סצנה,"בסדרה טלוויזיונית אהובה, שחקנית הקולנוע המיתולוגית עשתה סצנה מרגשת במיוחד.",morphology,עשה סצנה
bert-base-multilingual-cased,seen_test,40_lit_16,PERFECT,עשה סצנה,עשתה סצנה,"היא עשתה סצנה מלאת רגש מול הקהל באולם סגור, והשתיקה שאחרי הסצנה הייתה מרגשת יותר מההצגה עצמה – לפעמים הרגעים הכי עוצמתיים הם אלה שלא כתובים בתסריט.",morphology,עשה סצנה
bert-base-multilingual-cased,seen_test,41_lit_12,PERFECT,פתח דלתות,פתח את דלת,הילד הקטן פתח את דלת המכונית לבד בפעם הראשונה.,morphology,פתח דלתות
bert-base-multilingual-cased,seen_test,41_lit_15,PERFECT,פתח דלתות,פתחה את דלת,הילדה שחזרה מוקדם מהגן פתחה את דלת המטבח כדי לבדוק אם יש עוגה.,morphology,פתח דלתות
bert-base-multilingual-cased,seen_test,42_lit_5,PERFECT,פתח דף חדש,פתחה דף חדש,"במקום להמשיך בעצלנות הרגילה, היא פתחה דף חדש במחברת התרגול והחליטה לעשות כל יום שני תרגילים יותר מהתכנון – “אם לא עכשיו, אז מתי?” לחשה לעצמה בחיוך קטן.",morphology,פתח דף חדש
bert-base-multilingual-cased,seen_test,42_lit_6,PERFECT,פתח דף חדש,פתחה דף חדש,"בסוף השבוע האחרון, כשישבה במטבח עם קפה ועוגיות, היא פתחה דף חדש בספר המתכונים הישן של סבתה וכתבה מתכון חדש משלה, כמו המשך טבעי לדור של טעם וזיכרון.",morphology,פתח דף חדש
bert-base-multilingual-cased,seen_test,43_lit_7,PERFECT,פתח עיניים,פתחה עיניים,"האם הילדה בכלל רצתה לקום לבית הספר? היא פתחה עיניים רק אחרי שאביה העיר אותה בפעם השלישית, והבינה שאין דרך להתחמק מהבוקר הזה – גם אם הראש עוד בחלום.",morphology,פתח עיניים
bert-base-multilingual-cased,seen_test,43_fig_5,PERFECT,פתח עיניים,יפתח עיניים,"אם הציבור לא יפתח עיניים בקרוב ויבין שההבטחות הפוליטיות נעלמות ברוח אחרי הבחירות, מי יישאר להחזיר את האמון במערכת? לפעמים המציאות כואבת, אבל רק דרכה אפשר באמת להתפכח.",morphology,פתח עיניים
bert-base-multilingual-cased,seen_test,44_lit_2,PERFECT,קבר את עצמו,קובר את עצמו,"אם הוא היה יודע כמה מסוכן זה, אולי לא היה קובר את עצמו עד הראש בחול כשההורים לא מסתכלים – המשחק התמים בחוף הפך לשיעור חשוב על גבולות ומודעות.",morphology,קבר את עצמו
bert-base-multilingual-cased,seen_test,44_lit_23,PERFECT,קבר את עצמו,קובר את עצמו,הוא שכב ודמיין שהוא קובר את עצמו מרוב דיכאון ותחושת כשלון.,morphology,קבר את עצמו
bert-base-multilingual-cased,seen_test,45_fig_7,PERFECT,קיבל סטירה,הקבלת סטירה,"אם הסטודנט לא היה תולה את כל עתידו רק בקבלה לרפואה, אולי הקבלת סטירה הזאת מהוועדה לא הייתה כל כך כואבת, אבל הוא האמין שזה החלום היחיד שיש לו.",morphology,קיבל סטירה
bert-base-multilingual-cased,seen_test,45_fig_8,PERFECT,קיבל סטירה,לקבל סטירה,"אם התלמיד לא ילמד לקחת אחריות, הוא ימשיך לקבל סטירה אחרי סטירה מהמורה, לא על הציונים, אלא על חוסר המאמץ שמורגש בכל שורה שהוא כותב.",morphology,קיבל סטירה
bert-base-multilingual-cased,seen_test,46_lit_13,PERFECT,קיפל את הזנב,מקפלת את הזנב,האם גם הכלבה שלך מקפלת את הזנב בכל פעם שהיא מבינה שעשתה משהו שאסור? כי שלי כבר למדה לזהות את המבט שלי עוד לפני שאני אומר מילה אחת.,morphology,קיפל את הזנב
bert-base-multilingual-cased,seen_test,46_lit_33,PERFECT,קיפל את הזנב,קיפלו את הזנב,"חתולי הרחוב קיפלו את הזנב וברחו אל הפחים כשעבר לידם אוטובוס רועש, והעוברים והשבים לא שמו לב בכלל כמה פחד קטן יכול לגרום לבריחה כזו מהירה.",morphology,קיפל את הזנב
bert-base-multilingual-cased,seen_test,47_lit_22,PERFECT,קפא במקום,קפאה במקום,היא קפאה במקום בתוך המקפיא בחנות המזון,morphology,קפא במקום
bert-base-multilingual-cased,seen_test,47_fig_17,PERFECT,קפא במקום,קפאה במקום,"היא קפאה במקום כשהשמיעו את שמה בהגרלה הגדולה של תוכנית הריאליטי, וההפתעה הפכה לשיא הצפייה של הערב, כשלא הצליחה להוציא מילה מהפה.",morphology,קפא במקום
bert-base-multilingual-cased,seen_test,48_lit_9,PERFECT,קפץ למים,קפצה למים,"הבת שלי קפצה למים עם המצוף הצבעוני החדש שקנינו לה, צעקה בקול “תראו אותי!” ונראתה כאילו העולם כולו שייך לה – רגע של ילדות שאפילו הזמן קפא להסתכל עליו.",morphology,קפץ למים
bert-base-multilingual-cased,seen_test,48_lit_29,PERFECT,קפץ למים,קפצה למים,"הילדה חיכתה שסבתה תספור בקול רך “אחת, שתיים, שלוש” ואז קפצה למים בהתלהבות כל כך גדולה, שהרוח עצמה נראתה כאילו מחאה לה כפיים.",morphology,קפץ למים
bert-base-multilingual-cased,seen_test,50_lit_10,PERFECT,שבר את הכלים,שוברים את הכלים,"אם הם לא היו שוברים את הכלים בסלון בזמן ששיחקו תופסת, אולי היו מבינים שספורט בתוך הבית נגמר כמעט תמיד בקריאה לחברת הביטוח.",morphology,שבר את הכלים
bert-base-multilingual-cased,seen_test,50_lit_11,PERFECT,שבר את הכלים,ושבר את הכלים,בזמן ההובלה נפל אחד הארגזים ושבר את הכלים שהכינו לחתונה.,morphology,שבר את הכלים
bert-base-multilingual-cased,seen_test,51_lit_21,PERFECT,שבר את הלב,שברה את הלב,היא שברה את הלב המיוחד שקנתה לבעלה כשהתנגשה בקיר.,morphology,שבר את הלב
bert-base-multilingual-cased,seen_test,51_fig_3,PERFECT,שבר את הלב,נשבר לי הלב,"אם התגובה האדישה שלה למכתב הארוך שלי הייתה נובעת מבושה ולא מאדישות אמיתית, אולי לא היה נשבר לי הלב וגורם לי לעצב כה משמעותי עד כדי דיכאון.",morphology,שבר את הלב
bert-base-multilingual-cased,seen_test,52_lit_5,PERFECT,שבר את הקרח,שובר את הקרח,"אם צוות החילוץ לא היה שובר את הקרח במהירות, הלכודים היו קופאים מתחת לפני השטח, והמבצע כולו היה מסתיים באסון אנושי קשה במיוחד.",morphology,שבר את הקרח
bert-base-multilingual-cased,seen_test,52_lit_8,PERFECT,שבר את הקרח,לשבור את הקרח,"במהלך תחרות הספורט החורפית, שחקן אחד החליט לשבור את הקרח במגלשה כדי להאיץ את המהירות שלו – המהלך אמיץ, אבל גם מסוכן במיוחד.",morphology,שבר את הקרח
bert-base-multilingual-cased,seen_test,53_lit_11,PERFECT,שבר את הראש,ושבר את הראש,הוא החליק על הקרח ברחוב ושבר את הראש באבן.,morphology,שבר את הראש
bert-base-multilingual-cased,seen_test,53_lit_32,PERFECT,שבר את הראש,שברו את הראש,כל הבנים שנסעו ברכב ההסעות שברו את הראש בתאונה הקשה על כביש החוף,morphology,שבר את הראש
bert-base-multilingual-cased,seen_test,54_lit_6,PERFECT,שבר את תקרת הזכוכית,שברו את תקרת הזכוכית,"אתמול הם שברו את תקרת הזכוכית כששיחקו כדורגל בתוך המבנה הסגור, למרות שלכולם נאמר במפורש לא להביא כדורים פנימה – למה אנחנו תמיד לומדים בדרך הקשה?",morphology,שבר את תקרת הזכוכית
bert-base-multilingual-cased,seen_test,54_lit_10,PERFECT,שבר את תקרת הזכוכית,שברו את תקרת הזכוכית,בעזרת מוט מתכת הם שברו את תקרת הזכוכית.,morphology,שבר את תקרת הזכוכית
bert-base-multilingual-cased,seen_test,56_fig_30,PERFECT,שחרר קיטור,שחררו קיטור,הנערים שסיימו את לימודי התיכון שחררו קיטור במסיבת ריקודים שנמשכה עד הבוקר,morphology,שחרר קיטור
bert-base-multilingual-cased,seen_test,56_fig_34,PERFECT,שחרר קיטור,שחררו קיטור,העובדים שחררו קיטור בארוחה משותפת אחרי הלחץ,morphology,שחרר קיטור
bert-base-multilingual-cased,seen_test,57_lit_33,PERFECT,שיחק באש,תשחקי באש,"טעות קטנה כמו שמן שנשפך יכולה להדליק אש שתתפשט במהירות לכל הבית, אל תשחקי באש במטבח בזמן שאת מבשלת.",morphology,שיחק באש
bert-base-multilingual-cased,seen_test,57_fig_15,PERFECT,שיחק באש,שיחקה באש,"הזלזול שלה באמון החברים חצה גבולות, היא שיחקה באש ואז ביום שבו ביקשה עזרה – גילתה שהאמון שנשרף לא נבנה מחדש כל כך מהר.",morphology,שיחק באש
bert-base-multilingual-cased,seen_test,58_lit_8,PERFECT,שם עליו פס,שם פס,הוא שם פס אזהרה ליד המדרגות כדי למנוע נפילה.,morphology,שם עליו פס
