model,task,split,error_category,count,total,percentage
dictabert,span,Seen,MULTI_SPAN,11,1296,0.8487654320987654
dictabert,span,Seen,PERFECT,1282,1296,98.91975308641975
dictabert,span,Unseen,EXTEND_END,2,1440,0.1388888888888889
dictabert,span,Unseen,MISS,142,1440,9.86111111111111
dictabert,span,Unseen,MULTI_SPAN,13,1440,0.9027777777777777
dictabert,span,Unseen,PARTIAL_END,216,1440,15.0
dictabert,span,Unseen,PERFECT,1049,1440,72.84722222222221
dictabert,span,Unseen,WRONG_SPAN,18,1440,1.25
neodictabert,cls,Seen,CORRECT,1242,1296,95.83333333333334
neodictabert,cls,Seen,FALSE_NEGATIVE,27,1296,2.083333333333333
neodictabert,cls,Seen,FALSE_POSITIVE,27,1296,2.083333333333333
neodictabert,cls,Unseen,CORRECT,1330,1440,92.36111111111111
neodictabert,cls,Unseen,FALSE_NEGATIVE,23,1440,1.597222222222222
neodictabert,cls,Unseen,FALSE_POSITIVE,87,1440,6.041666666666667
neodictabert,span,Seen,MISS,1,1296,0.07716049382716049
neodictabert,span,Seen,MULTI_SPAN,3,1296,0.23148148148148145
neodictabert,span,Seen,PERFECT,1290,1296,99.53703703703704
neodictabert,span,Seen,WRONG_SPAN,2,1296,0.15432098765432098
neodictabert,span,Unseen,EXTEND_END,1,1440,0.06944444444444445
neodictabert,span,Unseen,MISS,134,1440,9.305555555555555
neodictabert,span,Unseen,MULTI_SPAN,1,1440,0.06944444444444445
neodictabert,span,Unseen,PARTIAL_END,359,1440,24.930555555555557
neodictabert,span,Unseen,PERFECT,919,1440,63.81944444444444
neodictabert,span,Unseen,WRONG_SPAN,26,1440,1.8055555555555554
xlm-roberta-base,cls,Seen,CORRECT,1182,1296,91.20370370370371
xlm-roberta-base,cls,Seen,FALSE_NEGATIVE,70,1296,5.401234567901234
xlm-roberta-base,cls,Seen,FALSE_POSITIVE,44,1296,3.3950617283950617
xlm-roberta-base,cls,Unseen,CORRECT,1306,1440,90.69444444444444
xlm-roberta-base,cls,Unseen,FALSE_NEGATIVE,61,1440,4.236111111111112
xlm-roberta-base,cls,Unseen,FALSE_POSITIVE,73,1440,5.069444444444445
xlm-roberta-base,span,Seen,EXTEND_END,1,1296,0.07716049382716049
xlm-roberta-base,span,Seen,MULTI_SPAN,7,1296,0.5401234567901234
xlm-roberta-base,span,Seen,PARTIAL_END,2,1296,0.15432098765432098
xlm-roberta-base,span,Seen,PERFECT,1284,1296,99.07407407407408
xlm-roberta-base,span,Seen,WRONG_SPAN,2,1296,0.15432098765432098
xlm-roberta-base,span,Unseen,EXTEND_END,4,1440,0.2777777777777778
xlm-roberta-base,span,Unseen,MISS,192,1440,13.333333333333334
xlm-roberta-base,span,Unseen,MULTI_SPAN,19,1440,1.3194444444444444
xlm-roberta-base,span,Unseen,PARTIAL_END,343,1440,23.819444444444443
xlm-roberta-base,span,Unseen,PERFECT,834,1440,57.91666666666667
xlm-roberta-base,span,Unseen,WRONG_SPAN,48,1440,3.3333333333333335
