model,split,id,error_category,context_ratio,context_ig_sum,idiom_ig_sum,top_context_tokens,top_idiom_tokens,sentence,base_pie,pie_span
xlm-roberta-base,unseen_test,49_fig_25,PARTIAL_END,2.713200358776521,284.19896721839905,104.74676752090454,קידמה | מיותרת | להתעסק | מקום,אחרי,היא רצה אחרי הזנב של עצמה כשהמשיכה להתעסק ברכילות מיותרת שלא קידמה אותה לשום מקום,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
xlm-roberta-base,unseen_test,20_lit_38,EXTEND_END,2.5971990409007635,199.5104100704193,76.81752800941467,כשעשתה | בביתה | מקיף | השולחן,את,כשעשתה שיפוץ מקיף בביתה היא חתכה את פינת השולחן כדי שיתאים לעיצוב,חתך פינה,חתכה את פינת
xlm-roberta-base,unseen_test,55_lit_10,WRONG_SPAN,2.4517309600877746,282.5649251937866,115.25119590759277,בחוזקה | הדלת | נסגרה | במשרד,שתיקה,הדלת נסגרה בחוזקה ושברה שתיקה במשרד,שבר שתיקה,ושברה שתיקה
xlm-roberta-base,unseen_test,49_lit_34,PARTIAL_END,2.059300887369994,182.14609742164612,88.45045351982117,במדבר | הלטאה | עד | שתפסתי,של,הלטאה במדבר רצה אחרי הזנב של עצמה בין החול עד שתפסתי אותה,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
xlm-roberta-base,unseen_test,49_fig_29,PARTIAL_END,1.7862100161461116,307.4704488515854,172.13566493988037,נכשלה | בניסיון | הם,הזנב | רצו,הם רצו אחרי הזנב של עצמם בניסיון לתקן תוכנית שכבר נכשלה,רץ אחרי הזנב של עצמו,רצו אחרי הזנב של עצמם
xlm-roberta-base,unseen_test,49_fig_31,PARTIAL_END,1.7768292556952672,183.23297691345215,103.1235704421997,נכון | משימות | לא | כי,הזנב,הם רצו אחרי הזנב של עצמם כי לא חילקו משימות נכון,רץ אחרי הזנב של עצמו,רצו אחרי הזנב של עצמם
xlm-roberta-base,unseen_test,49_fig_32,PARTIAL_END,1.7424833503923778,202.85148000717163,116.4151611328125,מביאות | המנהל | תוצאות,רץ | של,המנהל רץ אחרי הזנב של עצמו עם אינסוף ישיבות שלא מביאות תוצאות,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_fig_23,PARTIAL_END,1.6955504841128393,190.15033674240112,112.14666771888733,ונשארה | ידעה | במקום,רצה | הזנב,היא רצה אחרי הזנב של עצמה כי לא ידעה להגיד לא ונשארה במקום,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
xlm-roberta-base,unseen_test,49_lit_36,PARTIAL_END,1.661210133331446,182.77304458618164,110.02403664588928,לצחוק | לקהל | וגרם,של | עצמו,הסוס בפסטיבל רץ אחרי הזנב של עצמו וגרם לקהל לצחוק,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_fig_26,PARTIAL_END,1.6512310562521284,141.76133155822754,85.85190486907959,לפתור | לבד | היא,רצה | של,היא רצה אחרי הזנב של עצמה כשהתעקשה לפתור את כל הבעיות לבד,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
xlm-roberta-base,unseen_test,49_lit_35,PARTIAL_END,1.6102120112282137,128.76241421699524,79.96612453460693,הספארי | המבקרים | בגן | להנאת,רץ,הנמר בגן הספארי רץ אחרי הזנב של עצמו להנאת המבקרים,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_lit_38,PARTIAL_END,1.460232118544744,212.66326987743378,145.63661980628967,שהתעייף | הקוף | עד,רץ | של,הקוף הקטן רץ אחרי הזנב של עצמו בכלוב עד שהתעייף,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_lit_20,PARTIAL_END,1.4305946464069212,377.0483946800232,263.56060791015625,החתול | הג'ינג'י | מול,רץ | הזנב,החתול הג'ינג'י של השכן רץ אחרי הזנב של עצמו מול אור הפנס,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_lit_28,PARTIAL_END,1.4236885308447196,110.58593899011612,77.67565488815308,הכלב | צחקו | סביבו,רץ | של,הכלב החום הגדול רץ אחרי הזנב של עצמו וכולם צחקו סביבו,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_fig_27,PARTIAL_END,1.3805029795636714,240.38270783424377,174.12690258026123,להוכיח | ניסיונות,רצה | של | הזנב,היא רצה אחרי הזנב של עצמה עם ניסיונות חוזרים להוכיח את עצמה,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
xlm-roberta-base,unseen_test,49_fig_19,PARTIAL_END,1.2449475288990945,158.0395039319992,126.94471073150635,כי | גבולות | ידע,הזנב | עצמו,הוא רץ אחרי הזנב של עצמו כי לא ידע להציב גבולות,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_fig_37,PARTIAL_END,1.1897418163351754,275.65853118896484,231.69609355926514,זניחים | כשהתמקדה | בפרטים,הזנב | רצה,כשהתמקדה בפרטים זניחים במקום בעיקר היא רצה אחרי הזנב של עצמה,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
xlm-roberta-base,unseen_test,49_fig_11,PARTIAL_END,1.144453496654548,158.69381427764893,138.66340112686157,טכנולוגי | דבר,עצמם | הזנב | של,בפרויקט טכנולוגי שלא הוביל לשום דבר הם רצו אחרי הזנב של עצמם,רץ אחרי הזנב של עצמו,רצו אחרי הזנב של עצמם
xlm-roberta-base,unseen_test,49_lit_21,PARTIAL_END,1.0132965147385815,158.2168583869934,156.14073085784912,הבניין | במדרגות,של | רץ | עצמו,החתול הסקרן רץ אחרי הזנב של עצמו במדרגות הבניין,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_fig_36,PARTIAL_END,0.9714569735662608,86.85197949409485,89.40383553504944,כשהתווכחו | בלי,הזנב | עצמם | של,כשהתווכחו בלי להגיע להחלטה הם רצו אחרי הזנב של עצמם,רץ אחרי הזנב של עצמו,רצו אחרי הזנב של עצמם
xlm-roberta-base,unseen_test,49_lit_19,PARTIAL_END,0.9036678719602187,118.21547412872314,130.817391872406,מוזרה | החמור | בעקשנות,של | רץ,החמור באגדה רץ אחרי הזנב של עצמו בעקשנות מוזרה,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_lit_30,PARTIAL_END,0.8775927216964885,164.13514041900635,187.02883052825928,הכלב,רץ | של | הזנב | אחרי,הכלב רץ אחרי הזנב של עצמו בחצר הגדולה,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_lit_18,PARTIAL_END,0.8025385733072955,194.64269816875458,242.53376054763794,עד | הזאב,הזנב | רץ | של,הזאב ביער רץ אחרי הזנב של עצמו עד שנפל בין העצים,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_lit_39,PARTIAL_END,0.7837514144405276,130.2958745956421,166.24642992019653,השועל | החיות,עצמו | הזנב | רץ,השועל הקטן רץ אחרי הזנב של עצמו בכלוב שבגן החיות,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,49_lit_22,PARTIAL_END,0.7363817404436793,137.53493762016296,186.771249294281,החתול | עד,של | רץ | עצמו,החתול רץ אחרי הזנב של עצמו במדרגות עד שנעצר,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
